model,match_id,date,market_key,group,line,selection,odds,stake,abs_stake,pnl,abs_pnl,payoff,p_model,p_market,edge,won
m00_baseline,12476621,2024-08-24,OU2.5,OverUnder,2.5,under_25,2.22,0.00831566712459461,8.997502924907565,0.009942211614165317,10.757414497019486,1.1956000000000002,0.5037439100848896,0.445,0.058743910084889606,true
m00_baseline,12476622,2024-08-24,1X2,1X2,0.0,home,2.932907058611918,0.02076406213806637,22.466593121273156,-0.02076406213806637,-22.466593121273156,-1.0,0.504151255328294,0.33962855207294057,0.1645227032553534,false
m00_baseline,12476622,2024-08-24,1X2,1X2,0.0,draw,3.640128220709771,0.003986662111056647,4.3135449588596915,-0.003986662111056647,-4.3135449588596915,-1.0,0.24837547299932877,0.27364392606111226,-0.02526845306178349,false
m00_baseline,12476622,2024-08-24,OU0.5,OverUnder,0.5,under_05,14.0,0.00038780001740139125,0.41959733820133194,-0.00038780001740139125,-0.41959733820133194,-1.0,0.0700788430878313,0.07038512616201859,-0.00030628307418728573,false
m00_baseline,12476622,2024-08-24,OU2.5,OverUnder,2.5,under_25,2.018351124824413,0.002736204774657654,2.9605574747351935,-0.002736204774657654,-2.9605574747351935,-1.0,0.5037450464948858,0.4954539315288836,0.008291114966002211,false
m00_baseline,12476625,2024-08-24,1X2,1X2,0.0,home,3.420163044345575,0.02501715790227599,27.06841772596518,0.05933468900905329,64.19978456430381,2.3717597834586632,0.5040767975395701,0.29238372177994904,0.2116930757596211,true
m00_baseline,12476625,2024-08-24,1X2,1X2,0.0,draw,3.737834902257121,0.005802945343878103,6.278752735327571,-0.005802945343878103,-6.278752735327571,-1.0,0.24837622465542056,0.2675345557387091,-0.019158331083288543,false
m00_baseline,12476625,2024-08-24,OU2.5,OverUnder,2.5,under_25,2.13,0.005910873381754959,6.395530237592476,-0.005910873381754959,-6.395530237592476,-1.0,0.5037487612304024,0.4648241206030151,0.038924640627387264,false
m00_baseline,12476627,2024-08-24,1X2,1X2,0.0,away,6.880676410538224,0.009627424601892547,10.416816800982533,0.05548345337557316,60.0327702577475,5.76306288232746,0.2475921492317668,0.14452925604114084,0.10306289319062598,true
m00_baseline,12476627,2024-08-24,1X2,1X2,0.0,draw,4.892757918850324,0.004865642734104046,5.264596823768437,-0.004865642734104046,-5.264596823768437,-1.0,0.2483766755751567,0.20325122541697094,0.045125450158185754,false
m00_baseline,12476627,2024-08-24,OU2.5,OverUnder,2.5,under_25,2.4,0.008300679674623198,8.981286592178726,-0.008300679674623198,-8.981286592178726,-1.0,0.5037515077889623,0.41605839416058393,0.08769311362837834,false
m00_baseline,12476786,2024-08-24,1X2,1X2,0.0,home,2.537984562023013,0.016298550197379164,17.634935462838264,0.024565580215187757,26.579813324235058,1.5072248707825526,0.509394638224178,0.3921679060895824,0.11722673213459556,true
m00_baseline,12476786,2024-08-24,1X2,1X2,0.0,draw,3.7186417461765604,0.0025340859815258486,2.7418661292142095,-0.0025340859815258486,-2.7418661292142095,-1.0,0.24789680302768394,0.26765581610533384,-0.019759013077649906,false
m00_baseline,12476786,2024-08-24,OU2.5,OverUnder,2.5,under_25,2.150339025929171,0.005138750698124449,5.560098034708132,-0.005138750698124449,-5.560098034708132,-1.0,0.5040404908912449,0.4617880955849348,0.04225239530631014,false
m00_baseline,12476786,2024-08-24,OU3.5,OverUnder,3.5,under_35,1.4562499999999998,0.004097726660422395,4.433716148109956,-0.004097726660422395,-4.433716148109956,-1.0,0.7228980113835115,0.6866952789699571,0.03620273241355443,false
