scope,market_key,group,line,selection,n_bets,n_matches,win_rate_pct,push_rate_pct,mean_odds,median_odds,mean_p_model,mean_p_market,mean_edge,calib_bias,market_bias,flat_roi_pct,kelly_roi_pct,total_pnl_units,pnl_share_pct,turnover_units,capital_share_pct,capital_efficiency,mean_stake_frac,max_stake_frac,standalone_dd_units,standalone_dd_pct_turnover,max_win_streak,max_loss_streak,payoff_autocorr
m05_production_wealth,OU3.5,OverUnder,3.5,under_35,81,81,64.19753086419753,0.0,1.6054599680614665,1.5750000000000002,0.6739716642601071,0.6240472555694107,0.04992440869069654,-0.031996355618131855,0.01792805307256462,0.7128222880207132,-4.715943406075615,-48.73593153281229,-3.287096326840303,1033.4291007399518,3.188042376695491,-1.0310704621961408,0.0051390655796043514,0.016037336069213527,-155.6917576880432,-15.065548045489082,8,3,-0.012269813267106303
m05_production_wealth,BTTS,BTTS,0.0,ALL,118,118,44.91525423728814,0.0,2.1155074245817738,2.025,0.510796375672013,0.4815209293137102,0.029275446358302846,-0.06164383329913159,-0.03236838694082883,-7.697236223646938,-6.943467761061326,-77.29020797239345,-5.212998925766448,1113.1355488655636,3.433930105363463,-1.5180853324953396,0.0038600262975295838,0.013344818254377517,-126.90501896488672,-11.400679737002397,5,6,0.005599678100922148
m05_production_wealth,BTTS,BTTS,0.0,btts_no,47,47,36.17021276595745,0.0,2.4474803325112866,2.44,0.44587570629509143,0.4091491144097506,0.03672659188534089,-0.08417357863551694,-0.04744698675017611,-12.357429900738346,-10.202493668378931,-26.56044495525577,-1.791424485092371,260.33287369318157,0.8031051504031758,-2.230622583098911,0.0023069354179196446,0.006561879522407821,-65.09084027401747,-25.002927732719247,4,6,0.07068787336656752
m05_production_wealth,BTTS,BTTS,0.0,btts_yes,71,71,50.70422535211267,0.0,1.8957507108819553,1.89,0.5537720300482851,0.5294290321374581,0.024342997910826964,-0.04672977652715837,-0.022386778616331315,-4.612319282473747,-5.948593325751869,-50.7297630171377,-3.4215744406740787,852.802675172382,2.630824954960287,-1.3005709232850609,0.0048881287107925015,0.013344818254377517,-127.95073968378938,-15.00355749446095,7,5,-0.015976609810918658
m00_negbin_baseline,1X2,1X2,0.0,ALL,1050,591,28.19047619047619,0.0,4.0316484385340585,3.770997392095579,0.32487541963474836,0.2748840719029535,0.04999134773179496,-0.04297065772998648,0.007020690001808383,3.1023795244414174,7.677159005147637,931.5135568900721,121.62661042214114,12133.571237295982,68.32494684797909,1.7801200883881638,0.006602716589912754,0.0258521016021628,-620.7352634522078,-5.115849664641202,4,16,-0.15965513774648965
m00_negbin_baseline,1X2,1X2,0.0,away,386,386,24.61139896373057,0.0,4.553691219651138,3.8936083411686915,0.3223983474863897,0.25305441054410954,0.06934393694228012,-0.076284357849084,-0.006940420906803857,0.8661555741353695,12.67156247449017,630.5187552432087,82.3260793582514,4975.856422698789,28.01937854529258,2.9381836297751396,0.007438334874177653,0.020187784855179212,-687.8234910431004,-13.823218208334895,4,21,0.004554759835093836
m00_negbin_baseline,1X2,1X2,0.0,draw,337,337,24.92581602373887,0.0,4.163827103278305,3.9448916942208374,0.2506405593656633,0.24566456174369508,0.0049759976219681925,-0.0013823991282745918,0.003593598493693645,2.376534288577258,12.46725359988533,267.42571620005276,34.917455747736696,2145.0250775560744,12.078778913920337,2.8908100724896655,0.003538782489662671,0.013077863690165272,-282.0932075481016,-13.151044736013219,4,23,0.13795786826468118
m00_negbin_baseline,1X2,1X2,0.0,home,327,327,35.77981651376147,0.0,3.279193626515697,2.910433715502447,0.40430446477220455,0.33076549149984596,0.07353897327235877,-0.046506299634589854,0.027032673637768734,6.4901235284302805,0.6696820910090008,33.56908544681055,4.383075316153039,5012.689737041119,28.22678938876618,0.15528068941122417,0.008773961648194176,0.0258521016021628,-745.0522224150147,-14.863322118452173,5,10,-0.03260539790276412
m00_negbin_baseline,OU0.5,OverUnder,0.5,ALL,122,122,9.01639344262295,0.0,15.517003043446998,15.44411789895845,0.13062687426415237,0.12014669830117096,0.010480175962981429,-0.04046293983792286,-0.029982763874941448,-48.46472696980981,-26.09377016901087,-88.82003930378085,-11.597126244889495,340.3879114765259,1.916746974529748,-6.050421051393451,0.0014973514849622427,0.027276333413981838,-90.24285367589451,-26.51176808378458,1,21,-0.041669603948638535
m00_negbin_baseline,OU0.5,OverUnder,0.5,over_05,8,8,87.5,0.0,1.0855725413734978,1.0875,0.9283103207640371,0.9192162751945931,0.009094045569443862,-0.05331032076403708,-0.044216275194593146,-5.0938909453972165,-5.091161272700793,-8.472285240341582,-1.1062161454230839,166.41164533071543,0.937075045734,-1.180498990405403,0.01063835979569525,0.027276333413981838,-20.165787042069166,-12.118014338475545,5,1,-0.17554680055196795
m00_negbin_baseline,OU0.5,OverUnder,0.5,under_05,114,114,3.508771929824561,0.0,16.52973500850479,15.485981308411215,0.07464908854486223,0.06407164027356237,0.010577448271299856,-0.039561369246616615,-0.028983920975316754,-51.50829441011947,-46.18316960320287,-80.34775406343927,-10.490910099466412,173.97626614581048,0.9796719287957479,-10.708595184882208,0.0008558772175423824,0.0026132331390326703,-79.48848719049568,-45.689270698496266,1,30,-0.03519651127324952
m00_negbin_baseline,OU1.5,OverUnder,1.5,ALL,165,165,26.666666666666668,0.0,4.352338635250741,4.6,0.3301989005143238,0.2911384420088906,0.03906045850543312,-0.06353223384765716,-0.024471775342223945,-10.650106904080396,-11.415651166751866,-91.30194943773304,-11.921186281087754,799.7962455584694,4.503705866828846,-2.6469726562053912,0.002645156630626041,0.013272648326289088,-173.26192147072106,-21.663257665049226,3,9,-0.14217480406500232
m00_negbin_baseline,OU1.5,OverUnder,1.5,over_15,26,26,65.38461538461539,0.0,1.3842669412935396,1.3787376239892009,0.7438472385794722,0.7221942484843622,0.021652990095110125,-0.09000108473331836,-0.06834809463820835,-10.261034835416293,-9.0146292469859,-14.309849806465458,-1.868419965267041,158.7403032825787,0.8938772083091451,-2.090242315050562,0.003322587586855192,0.013272648326289088,-36.55773131690964,-23.029898873150096,4,2,-0.19249367869138512
m00_negbin_baseline,OU1.5,OverUnder,1.5,under_15,139,139,19.424460431654676,0.0,4.907517513257124,4.8,0.2528258300848716,0.21050929835160823,0.04231653173326333,-0.05858122576832481,-0.01626469403506145,-10.722882974477995,-12.010199820928044,-76.9920996312676,-10.052766315820717,641.0559422758907,3.6098286585197012,-2.784831986996054,0.002518442926583178,0.00755366912139534,-145.37125097088068,-22.67684321820347,2,9,-0.15975021470138567
m00_negbin_baseline,OU2.5,OverUnder,2.5,ALL,295,295,47.45762711864407,0.0,2.2425067724152203,2.19,0.49451817085673216,0.4496137436463829,0.0449044272103493,-0.019941899670291474,0.02496252754005779,3.986095309474507,6.841183397325655,144.92849444026334,18.92314008955807,2118.471118562887,11.929251804273,1.586280548020614,0.004192078192902426,0.020380924721137415,-158.38303962102117,-7.476289774885573,5,7,-0.00903305023290052
m00_negbin_baseline,OU2.5,OverUnder,2.5,over_25,57,57,47.368421052631575,0.0,2.1626745420203006,2.1300000000000003,0.5001880189891941,0.4635908042157213,0.036597214773472754,-0.02650380846287831,0.010093406310594466,-0.4195589396885547,-8.985813146460357,-25.907020507647605,-3.3826486659001183,288.31025178675964,1.6234942082433248,-2.0835606611496678,0.002855159188260948,0.007416186778124028,-47.43389100535555,-16.452377503536937,3,4,-0.08163074842189494
m00_negbin_baseline,OU2.5,OverUnder,2.5,under_25,238,238,47.47899159663865,0.0,2.261626256165264,2.2,0.4931602660518988,0.4462662963671717,0.046893969684727296,-0.018370350085512244,0.028523619599214844,5.041230990996755,9.334453492541444,170.8355149479109,22.305788755458185,1830.1608667761263,10.305757596029668,2.164400680649773,0.004512264677207317,0.020380924721137415,-136.19555444897372,-7.441725857076464,5,8,-0.053148127549198405
m00_negbin_baseline,OU3.5,OverUnder,3.5,ALL,220,220,43.18181818181818,0.0,2.782110236492514,3.1507562989009914,0.465552813883899,0.4258532439447379,0.039699569939161315,-0.033734632065717196,0.005964937873443932,-0.33245199633372285,-6.335823128710504,-94.60136506463934,-12.351987031228436,1493.1187809829698,8.407851188510906,-1.4691015283556736,0.0036943304161555068,0.020625514464940223,-185.38846125370546,-12.416189764330609,6,10,-0.111766238639777
m00_negbin_baseline,OU3.5,OverUnder,3.5,over_35,129,129,27.906976744186046,0.0,3.627835442051952,3.575,0.3010055167981738,0.2796202305572142,0.02138528624095942,-0.021935749356313317,-0.0005504631153537276,-0.6057278147304958,-5.592256243063459,-32.178383350748746,-4.2014930076618215,575.4096728071478,3.2401701478882066,-1.2966890057919216,0.0025036389730904995,0.009374879854049393,-92.39909020910272,-16.057966102365274,3,10,-0.10208158322248267
m00_negbin_baseline,OU3.5,OverUnder,3.5,under_35,91,91,64.83516483516483,0.0,1.5832250549851796,1.54,0.698812169093334,0.6331505925929852,0.06566157650034855,-0.05046052074168561,0.015201055758663151,0.054938998975985184,-6.802044477685526,-62.422981713890564,-8.15049402356661,917.7091081758216,5.167681040622695,-1.577205318884095,0.0053822336706103,0.020625514464940223,-140.84980990917995,-15.347979948586811,8,6,-0.002761133855334557
