container,scope,model,market_key,direction,full_bets,full_kelly_roi,full_flat_roi,full_eff,full_cap_share,anchor_book_roi,sel_bets,sel_kelly_roi,sel_eff,sel_eff_anch,eval_bets,eval_kelly_roi,eval_eff,eval_eff_anch,sign_across_split,verdict_selection,verdict_reason,oos_gate,oos_gate_reason
inv_anch,m12,m12,OU0.5,ALL,50,-28.94574485171144,-63.32079595959597,-4.971987328565894,3.8118382987708266,17.722960622894266,22,-57.75173088903382,-3.258582587743888,-3.258582587743888,28,-7.2527075471623945,NaN,-0.4092266355201089,held,CONDITIONAL,"only 22 bets, below the 60 floor",false,IS Kelly ROI -57.75%; OOS Kelly ROI -7.25%; IS efficiency -3.26; OOS efficiency -0.41
inv_anch,m12,m12,OU0.5,over_05,19,-18.14601544273233,-3.475778841042001,-3.1169264880703786,3.308908326574952,17.722960622894266,7,-52.00266441244665,-2.9341973679764517,-2.9341973679764517,12,7.983355764142993,NaN,0.45045271690273964,reversed,CONDITIONAL,"only 7 bets, below the 60 floor",false,IS Kelly ROI -52.00%; IS efficiency -2.93
inv_anch,m12,m12,OU0.5,under_05,31,-100.0,-100.0,-17.176919626830475,0.5029299721958747,17.722960622894266,15,-100.0,-5.642398136958079,-5.642398136958079,16,-100.0,NaN,-5.642398136958079,held,CONDITIONAL,"only 15 bets, below the 60 floor",false,IS Kelly ROI -100.00%; OOS Kelly ROI -100.00%; IS efficiency -5.64; OOS efficiency -5.64
inv_anch,m12,m12,OU1.5,ALL,98,2.0486670719913387,-2.964534838535902,0.35189789637729346,4.9642741322742765,17.722960622894266,37,19.638495413947158,1.1080820993631522,1.1080820993631522,61,-3.1395720673545378,NaN,-0.17714715583686869,reversed,CONDITIONAL,"only 37 bets, below the 60 floor",false,OOS Kelly ROI -3.14%; OOS efficiency -0.18
inv_anch,m12,m12,OU1.5,over_15,30,11.25669692728312,17.2529241128062,1.9335537838353172,2.5065781601486123,17.722960622894266,9,31.262008560664064,1.7639269886025843,1.7639269886025843,21,8.754377054326794,NaN,0.4939568078156205,held,CONDITIONAL,"only 9 bets, below the 60 floor",true,all four conditions hold
inv_anch,m12,m12,OU1.5,under_15,68,-7.3425053085811305,-11.884002022951535,-1.2612162354507417,2.457695972125667,17.722960622894266,28,15.836926157945747,0.8935824264873575,0.8935824264873575,40,-19.64303278015923,NaN,-1.1083381156297691,reversed,CONDITIONAL,"only 28 bets, below the 60 floor",false,OOS Kelly ROI -19.64%; OOS efficiency -1.11
inv_anch,m12,m12,OU2.5,ALL,211,27.648150216480865,14.639938524997309,4.749100540990274,14.833128470675257,17.722960622894266,97,5.763693572383773,0.32521053874815453,0.32521053874815453,114,41.42518199047541,NaN,2.337373696862078,held,CONDITIONAL,"Kelly ROI +5.76%, efficiency 0.33 — profitable but dilutive",true,all four conditions hold
inv_anch,m12,m12,OU2.5,over_25,38,7.969306818065124,7.096565355615097,1.3688814269545675,2.059603283150471,17.722960622894266,23,34.47899267420258,1.9454420402911188,1.9454420402911188,15,-38.3773321833261,NaN,-2.165401876126205,reversed,CONDITIONAL,"only 23 bets, below the 60 floor",false,OOS Kelly ROI -38.38%; OOS efficiency -2.17
inv_anch,m12,m12,OU2.5,under_25,173,30.82116705223776,16.296864423474325,5.294127092614036,12.773525187524786,17.722960622894266,74,-2.747684471501419,-0.1550352974294825,-0.1550352974294825,99,48.584659221083726,NaN,2.7413399067378594,reversed,PRUNE,Kelly ROI -2.75% <= 0 on 74 bets,false,IS Kelly ROI -2.75%; IS efficiency -0.16
inv_anch,m12,m12,OU3.5,ALL,100,-25.364906542458794,-10.481796357939574,-4.356909610218811,9.588477986920314,17.722960622894266,34,-22.171420487359786,-1.2509998165159304,-1.2509998165159304,66,-26.331931610516666,NaN,-1.4857524186168678,held,CONDITIONAL,"only 34 bets, below the 60 floor",false,IS Kelly ROI -22.17%; OOS Kelly ROI -26.33%; IS efficiency -1.25; OOS efficiency -1.49
inv_anch,m12,m12,OU3.5,over_35,31,16.109681135982125,-7.744727854158122,2.76714698086632,0.7884466288321765,17.722960622894266,15,-5.743670213054447,-0.3240807410944002,-0.3240807410944002,16,32.9657665677809,NaN,1.860059798654419,reversed,CONDITIONAL,"only 15 bets, below the 60 floor",false,IS Kelly ROI -5.74%; IS efficiency -0.32
inv_anch,m12,m12,OU3.5,under_35,69,-29.08085907792517,-11.711493801667467,-4.99519579060704,8.800031358088141,17.722960622894266,19,-25.163041839846336,-1.4197990039734716,-1.4197990039734716,50,-30.149061025675625,NaN,-1.7011300576230757,held,CONDITIONAL,"only 19 bets, below the 60 floor",false,IS Kelly ROI -25.16%; OOS Kelly ROI -30.15%; IS efficiency -1.42; OOS efficiency -1.70
raw,POOLED,POOLED,1X2,ALL,1854,8.130088092628625,5.015357968016538,1.4382686737646582,63.75088800594843,14.687462732801464,968,21.198291145758045,1.443291569919423,1.443291569919423,886,-0.15640507139898852,-0.22191242497568017,-0.0106488829448867,reversed,KEEP,"Kelly ROI +21.20%, efficiency 1.44",false,OOS Kelly ROI -0.16%; OOS efficiency -0.01
raw,POOLED,POOLED,1X2,away,690,6.993546937627275,3.7663107141850274,1.2372067023495086,27.976349680243416,14.687462732801464,375,24.926331980965124,1.6971162708244512,1.6971162708244512,315,-4.846381707264985,-6.876198497895414,-0.32996725135115246,reversed,KEEP,"Kelly ROI +24.93%, efficiency 1.70",false,OOS Kelly ROI -4.85%; OOS efficiency -0.33
raw,POOLED,POOLED,1X2,draw,623,7.868711086553476,5.716083889775942,1.3920292781274657,12.334325596668968,14.687462732801464,305,-2.4262093559251223,-0.1651891412467503,-0.1651891412467503,318,12.934874821359921,18.35240643215749,0.8806745628346349,reversed,PRUNE,Kelly ROI -2.43% <= 0 on 305 bets,false,IS Kelly ROI -2.43%; IS efficiency -0.17
raw,POOLED,POOLED,1X2,home,541,9.6241095965947,5.8014769252949625,1.7025713851994138,23.44021272903598,14.687462732801464,288,26.921621536568583,1.832966117179968,1.832966117179968,253,-2.256900681169158,-3.202161532281051,-0.15366171286541064,reversed,KEEP,"Kelly ROI +26.92%, efficiency 1.83",false,OOS Kelly ROI -2.26%; OOS efficiency -0.15
raw,POOLED,POOLED,BTTS,ALL,276,-8.937939415732668,1.923883380821582,-1.5811831462576873,6.493026216480932,14.687462732801464,76,8.230379154470157,0.5603676621482945,0.5603676621482945,200,-13.545303570251631,-19.218501902910273,-0.9222357745971296,reversed,KEEP,"Kelly ROI +8.23%, efficiency 0.56",false,OOS Kelly ROI -13.55%; OOS efficiency -0.92
raw,POOLED,POOLED,BTTS,btts_no,136,7.313878629807344,0.18290396841111906,1.2938755886921234,2.4098084849951396,14.687462732801464,39,40.7604355641742,2.7751856331961307,2.7751856331961307,97,-5.115669704477093,-7.258272761496112,-0.34830179981000287,reversed,CONDITIONAL,"only 39 bets, below the 60 floor",false,OOS Kelly ROI -5.12%; OOS efficiency -0.35
raw,POOLED,POOLED,BTTS,btts_yes,140,-18.52933806213515,3.615120524306032,-3.2779677386924324,4.083217731485791,14.687462732801464,37,-21.23126385725796,-1.4455365261858502,-1.4455365261858502,103,-17.950023094945028,-25.468056232059464,-1.2221323329629492,held,CONDITIONAL,"only 37 bets, below the 60 floor",false,IS Kelly ROI -21.23%; OOS Kelly ROI -17.95%; IS efficiency -1.45; OOS efficiency -1.22
raw,POOLED,POOLED,OU0.5,ALL,109,-27.64628010241058,-71.26898897229172,-4.890817684186272,2.340244526348035,14.687462732801464,47,-62.64476400971131,-4.265186244170476,-4.265186244170476,62,-10.794247930533261,-15.31521780353757,-0.7349293834411917,held,CONDITIONAL,"only 47 bets, below the 60 floor",false,IS Kelly ROI -62.64%; OOS Kelly ROI -10.79%; IS efficiency -4.27; OOS efficiency -0.73
raw,POOLED,POOLED,OU0.5,over_05,35,-14.101176189807253,-10.523422799422805,-2.4945953532071137,1.9712190393363727,14.687462732801464,12,-54.25154193538917,-3.6937313763683206,-3.6937313763683206,23,4.367718658574419,6.197056338814104,0.29737734406774063,reversed,CONDITIONAL,"only 12 bets, below the 60 floor",false,IS Kelly ROI -54.25%; IS efficiency -3.69
raw,POOLED,POOLED,OU0.5,under_05,74,-100.0,-100.0,-17.690689908621106,0.3690254870116615,14.687462732801464,35,-100.0,-6.808527913856103,-6.808527913856103,39,-100.0,-141.8831390764707,-6.808527913856103,held,CONDITIONAL,"only 35 bets, below the 60 floor",false,IS Kelly ROI -100.00%; OOS Kelly ROI -100.00%; IS efficiency -6.81; OOS efficiency -6.81
raw,POOLED,POOLED,OU1.5,ALL,247,2.063407306383441,-1.7477129921913432,0.365030988124126,4.833732172794577,14.687462732801464,90,23.615111582114725,1.6078414639565466,1.6078414639565466,157,-5.4341377069031305,-7.710125160292304,-0.36998478265187956,reversed,KEEP,"Kelly ROI +23.62%, efficiency 1.61",false,OOS Kelly ROI -5.43%; OOS efficiency -0.37
raw,POOLED,POOLED,OU1.5,over_15,96,11.988256951571785,11.543911549903022,2.1208053627512777,2.741297308698289,14.687462732801464,32,34.44259974306308,2.34503401776418,2.34503401776418,64,5.777444340123952,8.197219388163752,0.3933589106048388,held,CONDITIONAL,"only 32 bets, below the 60 floor",true,all four conditions hold
raw,POOLED,POOLED,OU1.5,under_15,151,-10.939130592611336,-10.198017336834116,-1.9352076718379778,2.092434864096289,14.687462732801464,58,13.776144588768457,0.9379526497794773,0.9379526497794773,93,-22.166821369202182,-31.45098199209796,-1.5092342205367502,reversed,CONDITIONAL,"only 58 bets, below the 60 floor",false,OOS Kelly ROI -22.17%; OOS efficiency -1.51
raw,POOLED,POOLED,OU2.5,ALL,537,22.41209115127429,11.799469682593633,3.964853547609444,14.042307075011912,14.687462732801464,263,4.341654071141809,0.29560272935675996,0.29560272935675996,274,33.02343321109058,46.85468367071706,2.2484096682907286,held,CONDITIONAL,"Kelly ROI +4.34%, efficiency 0.30 — profitable but dilutive",true,all four conditions hold
raw,POOLED,POOLED,OU2.5,over_25,152,5.991755506737245,9.947368984138272,1.0599828867796153,3.3451015014228838,14.687462732801464,85,27.575573765386668,1.8774906372223317,1.8774906372223317,67,-13.051779051905351,-18.51827382416854,-0.8886340200037992,reversed,KEEP,"Kelly ROI +27.58%, efficiency 1.88",false,OOS Kelly ROI -13.05%; OOS efficiency -0.89
raw,POOLED,POOLED,OU2.5,under_25,385,27.54686107231077,12.530688659646144,4.873229771861157,10.697205573589025,14.687462732801464,178,-5.7018525574522965,-0.3882122229810577,-0.3882122229810577,207,44.60503588767123,63.28702510361424,3.036946319397628,reversed,PRUNE,Kelly ROI -5.70% <= 0 on 178 bets,false,IS Kelly ROI -5.70%; IS efficiency -0.39
raw,POOLED,POOLED,OU3.5,ALL,269,-18.14905658479382,-13.311367979707867,-3.2106933217560543,8.53980200341621,14.687462732801464,101,-9.82738195146713,-0.6691000433668961,-0.6691000433668961,168,-20.81279386889856,-29.529845270708513,-1.41704488021729,held,PRUNE,Kelly ROI -9.83% <= 0 on 101 bets,false,IS Kelly ROI -9.83%; OOS Kelly ROI -20.81%; IS efficiency -0.67; OOS efficiency -1.42
raw,POOLED,POOLED,OU3.5,over_35,89,6.8501585086411785,-14.510582283916525,1.211840300012735,1.1209704849333493,14.687462732801464,47,-0.501285684555935,-0.034130175761155485,-0.034130175761155485,42,12.831468723137615,18.20569061400318,0.8736341297725397,reversed,CONDITIONAL,"only 47 bets, below the 60 floor",false,IS Kelly ROI -0.50%; IS efficiency -0.03
raw,POOLED,POOLED,OU3.5,under_35,180,-21.926387583135668,-12.71842312929358,-3.8789292354949323,7.418831518482866,14.687462732801464,54,-12.818743112690466,-0.872767703033037,-0.872767703033037,126,-24.366884427432662,-34.57250052077717,-1.6590261279788086,held,CONDITIONAL,"only 54 bets, below the 60 floor",false,IS Kelly ROI -12.82%; OOS Kelly ROI -24.37%; IS efficiency -0.87; OOS efficiency -1.66
raw,m05,m05,1X2,ALL,925,7.898497539270405,4.985755225337883,1.4439843888522037,62.37155426189076,13.924446221325512,485,20.952157797769644,1.5047031289245154,1.5047031289245154,440,-0.39149011628654945,-0.4400062653781728,-0.02811530958315427,reversed,KEEP,"Kelly ROI +20.95%, efficiency 1.50",false,OOS Kelly ROI -0.39%; OOS efficiency -0.03
raw,m05,m05,1X2,away,347,7.412192481427865,3.0182379090542772,1.3550792637631401,27.337009662439762,13.924446221325512,189,24.355573748852347,1.749123330416645,1.749123330416645,158,-3.967511535189922,-4.459192865461664,-0.2849313697742331,reversed,KEEP,"Kelly ROI +24.36%, efficiency 1.75",false,OOS Kelly ROI -3.97%; OOS efficiency -0.28
raw,m05,m05,1X2,draw,305,7.949387593346383,7.192908248413332,1.4532879865640724,11.8713257545671,13.924446221325512,151,-3.5458794831770293,-0.25465138267017456,-0.25465138267017456,154,13.472753486067504,15.142389805382154,0.9675611706147255,reversed,PRUNE,Kelly ROI -3.55% <= 0 on 151 bets,false,IS Kelly ROI -3.55%; IS efficiency -0.25
raw,m05,m05,1X2,home,273,8.44634858452074,5.020725323185507,1.5441412038445042,23.16321884488395,13.924446221325512,145,27.02354822969943,1.9407269632247517,1.9407269632247517,128,-4.216792661289351,-4.739366624034898,-0.3028337783969653,reversed,KEEP,"Kelly ROI +27.02%, efficiency 1.94",false,OOS Kelly ROI -4.22%; OOS efficiency -0.30
raw,m05,m05,BTTS,ALL,141,-7.215326171866852,5.815009072496393,-1.3190886369023125,6.79322379399404,13.924446221325512,39,10.305496402669958,0.7401009877783811,0.7401009877783811,102,-11.98372705419126,-13.46883297193276,-0.8606250377008164,reversed,CONDITIONAL,"only 39 bets, below the 60 floor",false,OOS Kelly ROI -11.98%; OOS efficiency -0.86
raw,m05,m05,BTTS,btts_no,65,10.401906256213266,9.759881176642928,1.9016515702635088,2.4333557566565935,13.924446221325512,21,44.165680707426674,3.171808774684786,3.171808774684786,44,-3.0146212892574913,-3.3882139033232455,-0.2164984690479504,reversed,CONDITIONAL,"only 21 bets, below the 60 floor",false,OOS Kelly ROI -3.01%; OOS efficiency -0.22
raw,m05,m05,BTTS,btts_yes,76,-17.047961833795256,2.4411052992131745,-3.116667521557833,4.359868037337446,13.924446221325512,18,-20.469801725694552,-1.4700621770038311,-1.4700621770038311,58,-16.324017007994637,-18.34700152276685,-1.1723279151305956,held,CONDITIONAL,"only 18 bets, below the 60 floor",false,IS Kelly ROI -20.47%; OOS Kelly ROI -16.32%; IS efficiency -1.47; OOS efficiency -1.17
raw,m05,m05,OU0.5,ALL,57,-26.74548105460807,-69.7703313840156,-4.889544742298396,2.56424456458969,13.924446221325512,24,-62.60750877880813,-4.496229708792565,-4.496229708792565,33,-12.09353279714853,-13.592246598141244,-0.8685108624734456,held,CONDITIONAL,"only 24 bets, below the 60 floor",false,IS Kelly ROI -62.61%; OOS Kelly ROI -12.09%; IS efficiency -4.50; OOS efficiency -0.87
raw,m05,m05,OU0.5,over_05,19,-13.445417827178836,-9.310994152046788,-2.4580590609179,2.170220193106516,13.924446221325512,6,-54.13195100423593,-3.887547852447588,-3.887547852447588,13,2.3294258163425647,2.618104292508312,0.16729037401681454,reversed,CONDITIONAL,"only 6 bets, below the 60 floor",false,IS Kelly ROI -54.13%; IS efficiency -3.89; OOS efficiency 0.17
