model,container,basket,setting,t1,ratio,lambda,cap,deployable,n_directions,n_slates,n_bets,return_pct,cagr_pct,flat_roi_pct,sharpe_ann,sortino,mdd_pct,calmar,ulcer,turnover,mean_exposure,max_exposure,worst_slate,mean_k_risk,frac_k_pinned,n_capped,is_return_pct,is_sharpe,is_mdd_pct,is_calmar,is_slates,oos_return_pct,oos_cagr_pct,oos_sharpe,oos_mdd_pct,oos_calmar,oos_slates,oos_k_pinned,g3_sharpe,g3_calmar,g3_mdd,gate3
m12,inv_anch,B0_canonical,prod,0.35,1.4,23.0,0.25,true,4,99,984,66.81995497964535,34.53984518643396,17.3378261204838,1.7746931870539568,0.2896870463199279,-7.9541308363420775,8.400660782991887,3.0205250127811456,3.0981820177648203,0.031294767856210305,0.07743363346772271,-0.04624228618145758,0.9035468607390431,0.29292929292929293,0,44.58035327345886,2.9786942820855304,-6.128873097201983,10.403482910888352,49,15.382174135459792,21.709347814976464,1.0081247861678306,-7.954130836342095,2.72931741527149,50,0.2,false,false,true,false
m12,inv_anch,B0_canonical,matched,1.0,1.4,8.0,0.25,true,4,99,984,255.2589575550459,108.53792090559891,17.292045081358015,1.6477646973959026,0.2564184472616018,-20.78952250893433,12.278250135150914,8.16368344690045,8.382219398378512,0.08466888281190416,0.20787087938214605,-0.1246153222869517,0.8594267164080676,0.09090909090909091,0,156.97540007139946,2.893512310002665,-15.900264512091121,15.943614380942602,49,38.24629028939683,56.0034336545598,0.8481894164127206,-20.78952250893434,2.6938297226640104,50,0.08,false,false,false,false
m12,inv_anch,B0_canonical,tuned,1.0,1.4,8.0,0.25,true,4,99,984,255.2589575550459,108.53792090559891,17.292045081358015,1.6477646973959026,0.2564184472616018,-20.78952250893433,12.278250135150914,8.16368344690045,8.382219398378512,0.08466888281190416,0.20787087938214605,-0.1246153222869517,0.8594267164080676,0.09090909090909091,0,156.97540007139946,2.893512310002665,-15.900264512091121,15.943614380942602,49,38.24629028939683,56.0034336545598,0.8481894164127206,-20.78952250893434,2.6938297226640104,50,0.08,false,false,false,false
m12,inv_anch,B1_draw_promoted,prod,0.35,1.4,23.0,0.25,true,4,99,984,70.17409667286903,36.10159933750292,17.663604939258786,1.7750807998093219,0.284361533761951,-7.259151445546238,9.666983420758285,2.8812397141899004,3.1651354836900407,0.031971065491818586,0.07957975352314194,-0.04881841477661763,0.8921530585598154,0.25252525252525254,0,45.954660622975396,3.020378984156491,-6.406251761629009,10.2786476751214,49,16.59380793084533,23.467730150346156,1.0213195367885677,-7.259151445546219,3.232847575420754,50,0.14,false,false,true,false
m12,inv_anch,B1_draw_promoted,matched,1.0,1.4,8.0,0.25,true,4,99,984,273.71478901339617,114.75191533026377,17.72263081336683,1.6576931175257783,0.2540314310603436,-19.15027334200909,14.292996456241719,7.737289034723402,8.536232304400801,0.08622456873132123,0.21315524162841087,-0.13130210163160566,0.8464977951306869,0.09090909090909091,0,163.02557762242324,2.9300556927350714,-16.577825693967075,15.966332712716824,49,42.08305990296832,61.97908110741557,0.8762806921982593,-19.15027334200909,3.2364593444969194,50,0.08,false,false,false,false
m12,inv_anch,B1_draw_promoted,tuned,1.0,1.4,8.0,0.25,true,4,99,984,273.71478901339617,114.75191533026377,17.72263081336683,1.6576931175257783,0.2540314310603436,-19.15027334200909,14.292996456241719,7.737289034723402,8.536232304400801,0.08622456873132123,0.21315524162841087,-0.13130210163160566,0.8464977951306869,0.09090909090909091,0,163.02557762242324,2.9300556927350714,-16.577825693967075,15.966332712716824,49,42.08305990296832,61.97908110741557,0.8762806921982593,-19.15027334200909,3.2364593444969194,50,0.08,false,false,false,false
m12,inv_anch,B2_plus_over15,prod,0.35,1.4,23.0,0.25,true,5,99,1013,68.92340176148421,35.520776981879564,17.236888398634672,1.8180649222225127,0.2995115023944152,-7.135574608705604,9.659124252922211,2.8174477448790145,3.18948524619578,0.03221702268884625,0.07743363346772271,-0.04624228618145758,0.9044262503584494,0.30303030303030304,0,45.098490961030535,3.0038009573694033,-6.128873097201994,10.531673950059654,49,16.419819835929527,23.214809006079108,1.071646606360539,-7.135574608705595,3.2533902704564825,50,0.22,false,false,true,false
m12,inv_anch,B2_plus_over15,matched,1.0,1.4,8.0,0.25,true,5,99,1013,268.30699669281574,112.94476613476081,17.214597158235208,1.6958463838510631,0.2662044158068191,-19.179655617673493,13.989145688600304,7.660521478639872,8.631967395327077,0.08719158985178868,0.2095544335753416,-0.1246153222869517,0.8605224570318627,0.09090909090909091,0,159.42642252445626,2.9187059822594783,-15.900264512091137,16.227782703548126,49,41.96973196055056,61.801703994835044,0.9192991434190617,-19.179655617673486,3.2222530595328625,50,0.08,false,false,false,false
m12,inv_anch,B2_plus_over15,tuned,1.0,1.4,8.0,0.25,true,5,99,1013,268.30699669281574,112.94476613476081,17.214597158235208,1.6958463838510631,0.2662044158068191,-19.179655617673493,13.989145688600304,7.660521478639872,8.631967395327077,0.08719158985178868,0.2095544335753416,-0.1246153222869517,0.8605224570318627,0.09090909090909091,0,159.42642252445626,2.9187059822594783,-15.900264512091137,16.227782703548126,49,41.96973196055056,61.801703994835044,0.9192991434190617,-19.179655617673486,3.2222530595328625,50,0.08,false,false,false,false
m12,inv_anch,B3_plus_over25,prod,0.35,1.4,23.0,0.25,true,5,99,1022,67.83012729206506,35.01157867258746,17.196791244699313,1.7703307176149332,0.28686054733334226,-8.870224480750139,7.646945963911929,3.241535139196987,3.1628923283311434,0.03194840735688023,0.07743363346772271,-0.04624228618145758,0.9013232917887324,0.29292929292929293,0,46.445401446314264,3.02711749949316,-6.364650336458853,10.463117379037342,49,14.602524650519811,20.58151531420269,0.9509264484672756,-8.870224480750151,2.3202924975425336,50,0.2,false,false,true,false
m12,inv_anch,B3_plus_over25,matched,1.0,1.4,8.0,0.25,true,5,99,1022,259.82170256308797,110.08655698553085,17.14898026175918,1.6404173981213055,0.2534081060067447,-23.260222632223712,11.170215636850447,8.786562345196433,8.556878665278742,0.0864331178310984,0.20787087938214605,-0.1246153222869517,0.8572996906782235,0.09090909090909091,0,165.45602985547555,2.938534231199639,-16.493411096777024,16.32183030041301,49,35.54851353687041,51.83853179364362,0.788448689843916,-23.260222632223698,2.2286343778080946,50,0.08,false,false,false,false
m12,inv_anch,B3_plus_over25,tuned,1.0,1.4,8.0,0.25,true,5,99,1022,259.82170256308797,110.08655698553085,17.14898026175918,1.6404173981213055,0.2534081060067447,-23.260222632223712,11.170215636850447,8.786562345196433,8.556878665278742,0.0864331178310984,0.20787087938214605,-0.1246153222869517,0.8572996906782235,0.09090909090909091,0,165.45602985547555,2.938534231199639,-16.493411096777024,16.32183030041301,49,35.54851353687041,51.83853179364362,0.788448689843916,-23.260222632223698,2.2286343778080946,50,0.08,false,false,false,false
