model,market_key,selection,source,n_obs,brier,ece,mean_predicted,realized_win_rate,calibration_bias
m05_joint_production_wealth,OU1.5,ALL,model,430,0.17307795391249842,0.018196178787842344,0.4999998891787832,0.5,1.1082121681438295e-7
m05_joint_production_wealth,OU1.5,ALL,market,430,0.17266435474340952,0.010264241635519814,0.5,0.5,0.0
m05_joint_production_wealth,OU1.5,over_15,model,215,0.1730779654448277,0.018196289609059155,0.7538967336467547,0.772093023255814,0.01819628960905928
m05_joint_production_wealth,OU1.5,over_15,market,215,0.17266435474340938,0.008403776519240815,0.7695475417446302,0.772093023255814,0.0025454815111837226
m05_joint_production_wealth,OU1.5,under_15,model,215,0.1730779423801697,0.01819606796662553,0.24610304471081157,0.22790697674418606,-0.018196067966625512
m05_joint_production_wealth,OU1.5,under_15,market,215,0.17266435474340935,0.012124706751798813,0.23045245825536975,0.22790697674418606,-0.002545481511183695
m05_joint_production_wealth,OU2.5,ALL,model,758,0.2469609831428502,0.00997671872406351,0.49999987973312626,0.5,1.202668737376733e-7
m05_joint_production_wealth,OU2.5,ALL,market,758,0.24829171351414944,0.01829866107755568,0.5,0.5,0.0
m05_joint_production_wealth,OU2.5,over_25,model,379,0.24696098405222033,0.01749220406305305,0.5121836863106705,0.5013192612137203,-0.010864425096950181
m05_joint_production_wealth,OU2.5,over_25,market,379,0.24829171351414947,0.028508958419071143,0.5298282196327917,0.5013192612137203,-0.028508958419071417
m05_joint_production_wealth,OU2.5,under_25,model,379,0.24696098223348054,0.017492371210916145,0.48781607315558195,0.49868073878627966,0.010864665630697712
m05_joint_production_wealth,OU2.5,under_25,market,379,0.24829171351414947,0.028508958419071074,0.4701717803672084,0.49868073878627966,0.02850895841907125
m05_joint_production_wealth,OU3.5,ALL,model,528,0.21062985973655368,0.031111878790368714,0.4999998678679094,0.5,1.3213209060225495e-7
m05_joint_production_wealth,OU3.5,ALL,market,528,0.2098660314894639,0.01484560050373574,0.5,0.5,0.0
m05_joint_production_wealth,OU3.5,over_35,model,264,0.21062987072949146,0.031111923834161784,0.3008657251360488,0.3068181818181818,0.005952456682133012
m05_joint_production_wealth,OU3.5,over_35,market,264,0.20986603148946387,0.014845600503735762,0.31406522484008403,0.3068181818181818,-0.007247043021902211
m05_joint_production_wealth,OU3.5,under_35,model,264,0.21062984874361643,0.031111833746575633,0.6991340105997703,0.6931818181818182,-0.005952192417952085
m05_joint_production_wealth,OU3.5,under_35,market,264,0.2098660314894639,0.014845600503735717,0.685934775159916,0.6931818181818182,0.007247043021902266
m05_joint_production_wealth,BTTS,ALL,model,356,0.24551038598234856,0.003989662808139129,0.49999989028114267,0.5,1.0971885733290776e-7
m05_joint_production_wealth,BTTS,ALL,market,356,0.2451580767568855,0.03004396402078209,0.5,0.5,0.0
m05_joint_production_wealth,BTTS,btts_yes,model,178,0.24551039795760982,0.003989716010046214,0.5492979320982674,0.550561797752809,0.0012638656545416183
m05_joint_production_wealth,BTTS,btts_yes,market,178,0.2451580767568853,0.03285295278482705,0.5576697512597203,0.550561797752809,-0.007107953506911291
m05_joint_production_wealth,BTTS,btts_no,model,178,0.2455103740070869,0.003989609606232289,0.45070184846401784,0.449438202247191,-0.0012636462168268414
m05_joint_production_wealth,BTTS,btts_no,market,178,0.2451580767568853,0.027234975256737102,0.44233024874027976,0.449438202247191,0.007107953506911235
m12_joint_hybrid_synergy,1X2,ALL,model,1785,0.21311380224484566,0.015540487807250399,0.3333332785717348,0.3333333333333333,5.476159853357032e-8
m12_joint_hybrid_synergy,1X2,ALL,market,1785,0.21156444032291422,0.018580646181840455,0.3333333333333333,0.3333333333333333,0.0
m12_joint_hybrid_synergy,1X2,home,model,595,0.239053272551311,0.030699725190847054,0.4106347277765724,0.43529411764705883,0.024659389870486437
m12_joint_hybrid_synergy,1X2,home,market,595,0.23706791435384156,0.04621231839996138,0.42152996773744844,0.43529411764705883,0.01376414990961039
m12_joint_hybrid_synergy,1X2,draw,model,595,0.19078256708698088,0.003276961042044335,0.25386589610081295,0.2571428571428571,0.0032769610420441686
