model,market_key,selection,source,bin,lower,upper,n,mean_predicted,realized_win_rate,calibration_gap
m00_joint_baseline,OU1.5,over_15,model,8,0.7,0.8,160,0.7534113615073861,0.76875,0.015338638492613965
m00_joint_baseline,OU1.5,over_15,model,9,0.8,0.9,32,0.8116723905144565,0.875,0.0633276094855435
m00_joint_baseline,OU1.5,over_15,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,market,4,0.3,0.4,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,market,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,market,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,over_15,market,7,0.6,0.7,10,0.683241216297007,0.8,0.11675878370299309
m00_joint_baseline,OU1.5,over_15,market,8,0.7,0.8,152,0.7565167276234162,0.756578947368421,6.22197450048656e-5
m00_joint_baseline,OU1.5,over_15,market,9,0.8,0.9,53,0.8232031455352096,0.8113207547169812,-0.011882390818228394
m00_joint_baseline,OU1.5,over_15,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,model,2,0.1,0.2,32,0.18832696051739709,0.125,-0.06332696051739709
m00_joint_baseline,OU1.5,under_15,model,3,0.2,0.3,160,0.246588444658566,0.23125,-0.015338444658565986
m00_joint_baseline,OU1.5,under_15,model,4,0.3,0.4,23,0.3230874077640066,0.34782608695652173,0.024738679192515156
m00_joint_baseline,OU1.5,under_15,model,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,model,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,model,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,market,2,0.1,0.2,51,0.17588692718889973,0.19607843137254902,0.02019150418364929
m00_joint_baseline,OU1.5,under_15,market,3,0.2,0.3,154,0.24291855455351105,0.24025974025974026,-0.002658814293770795
m00_joint_baseline,OU1.5,under_15,market,4,0.3,0.4,10,0.31675878370299293,0.2,-0.11675878370299292
m00_joint_baseline,OU1.5,under_15,market,5,0.4,0.5,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,market,6,0.5,0.6,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,market,7,0.6,0.7,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU1.5,under_15,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,model,4,0.3,0.4,22,0.38743642132552714,0.2727272727272727,-0.11470914859825443
m00_joint_baseline,OU2.5,ALL,model,5,0.4,0.5,357,0.46065666453913406,0.46218487394957986,0.001528209410445791
m00_joint_baseline,OU2.5,ALL,model,6,0.5,0.6,357,0.5393431127153044,0.5378151260504201,-0.0015279866648842955
m00_joint_baseline,OU2.5,ALL,model,7,0.6,0.7,22,0.6125628296084831,0.7272727272727273,0.11470989766424422
m00_joint_baseline,OU2.5,ALL,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,market,3,0.2,0.3,2,0.2920623374158074,1.0,0.7079376625841927
m00_joint_baseline,OU2.5,ALL,market,4,0.3,0.4,41,0.36865306278742255,0.3902439024390244,0.021590839651601856
m00_joint_baseline,OU2.5,ALL,market,5,0.4,0.5,332,0.46194550362195913,0.4759036144578313,0.013958110835872173
m00_joint_baseline,OU2.5,ALL,market,6,0.5,0.6,340,0.5371590964632633,0.5235294117647059,-0.01362968469855741
