bet_id,portfolio_run_id,match_id,kickoff_date,market_family,selection,odds_close,stake_fraction,stake_amount,pnl,experiment,model,run_uuid,market_key,capacity_bucket,won
28814,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476707,2025-01-04,1X2_away,away,3.1235936205233696,0.0005452992389226223,0.923371037143747,-0.923371037143747,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28815,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476707,2025-01-04,1X2_home,home,2.5402536793711494,0.005164754796636949,8.745629285282238,13.201077931370602,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,true
28816,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476708,2025-01-04,1X2_away,away,5.220386644838837,0.008372621723140766,14.177603510658459,-14.177603510658459,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28817,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476708,2025-01-04,1X2_draw,draw,3.778425452109062,0.0006851473881808538,1.160179969572003,-1.160179969572003,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28818,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476709,2025-01-04,O/U 2.5_under_25,under_25,1.895,0.00040358323541229963,0.6833992128666146,0.5994094496053077,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,true
28819,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476711,2025-01-04,1X2_away,away,4.324853244639819,0.007875970111508868,13.336608913567641,43.455422070392345,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,true
28820,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476711,2025-01-04,1X2_draw,draw,3.7786491383097993,0.0021674050859103043,3.670129974950535,-3.670129974950535,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28821,ad4029f0-e1ee-4bcf-b930-5ef566558061,13217663,2025-01-08,1X2_home,home,3.6330573387654135,0.0023837769214922694,3.984450380186329,-3.984450380186329,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28822,ad4029f0-e1ee-4bcf-b930-5ef566558061,13217663,2025-01-08,O/U 2.5_over_25,over_25,2.224628297958405,0.01071771832100416,17.914518952604727,21.499854316598476,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,true
28823,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476533,2025-01-11,1X2_away,away,3.9094589716500696,0.006987933444043306,11.802631240869369,-11.802631240869369,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,1X2,core,false
28824,ad4029f0-e1ee-4bcf-b930-5ef566558061,12476533,2025-01-11,O/U 2.5_under_25,under_25,1.95,0.003243493114822547,5.478265280156846,5.100264975826023,scottish_lower_joint_player_2426,m13_joint_composite,5474e824-8c9d-4613-8e39-841426c3f80f,OU2.5,core,true
