model,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476605,2024-09-28,O/U 2.5_over_25,over_25,2.14,0.0008250150303132117,-0.0008250150303132117,-1.0,0.47780448284547394,0.45685279187817257
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476609,2024-09-28,1X2_away,away,3.2896690137040885,0.0030358017689260056,0.006811961617216776,2.2438756334300067,0.33290740677702574,0.30398194950136453
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476609,2024-09-28,O/U 2.5_under_25,under_25,1.923961125423622,0.002996245137817222,0.0027130457489910023,0.9054819029151495,0.5396097164202048,0.5183714419449291
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476610,2024-09-28,O/U 2.5_over_25,over_25,1.79,0.0022365517812460616,0.0017315383890407008,0.7742,0.5759241538077247,0.5500596428157869
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476766,2024-09-28,1X2_home,home,2.82,0.0023444905142005956,-0.0023444905142005956,-1.0,0.3773528244312622,0.34951070467903517
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476766,2024-09-28,O/U 2.5_under_25,under_25,1.87,0.0010554503673947137,-0.0010554503673947137,-1.0,0.5431900397691599,0.5325
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476767,2024-09-28,1X2_away,away,3.3486285474612414,0.0053563356166546105,-0.0053563356166546105,-1.0,0.3371766551589764,0.2986297183538463
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476767,2024-09-28,1X2_home,home,2.41333231002456,0.0027215485486781444,0.0037695234472043247,1.3850656638240686,0.4070399430832079,0.41436481658417906
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476767,2024-09-28,O/U 2.5_under_25,under_25,2.120008652030316,0.003555558132651062,0.003902610753938624,1.0976084789897096,0.49124901756860767,0.4704973490279117
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476768,2024-09-28,1X2_away,away,2.72,0.0008088195432039612,0.0013633462220245971,1.6856000000000002,0.3757691439842066,0.3610830746341975
