model,split,subset,n_obs,n_clusters,beta_intercept,se_intercept,beta_mkt,se_mkt,z_mkt,p_mkt,beta_edge,se_edge_naive,se_edge,z_edge_naive,z_edge,p_edge_naive,p_edge,mean_spread,sd_spread,deviance,nulldeviance,pseudo_r2
m12_joint_hybrid_synergy,24/25,OU2.5,376,188,-3.0960000175666633,1.8216642094691984,6.192000906853982,3.643328808684508,1.699544903027767,0.08921656153735963,5.88939840725259,3.3284819748358467,4.773357650506043,1.769394712598088,1.233806230008395,0.07682802738520354,0.21727511738457606,-7.488799262021163e-8,0.03807562473336935,515.271083653928,521.2466797810799,0.011464046408241169
m12_joint_hybrid_synergy,25/26,all,1527,309,-2.17305319111128,0.1767630940402216,4.340954469382952,0.424285418304303,10.231212957381352,1.4370801708396626e-24,1.2937272617885078,0.9303861627030716,1.0132731036032225,1.3905271957504326,1.276780422956046,0.16436884689969475,0.20167977900987885,-7.687666591326396e-8,0.07581430397339693,1954.8954720332217,2061.075057505323,0.05151660299097427
m12_joint_hybrid_synergy,25/26,1X2,873,291,-2.1097736740645656,0.3731932137286686,4.142336276855823,1.0936728449648225,3.787546061810705,0.0001521424861305439,0.726936038893604,1.3151367977420276,1.624864058279327,0.5527455699982604,0.44738268114774066,0.5804376443457426,0.6545987782693308,-6.289638595116496e-8,0.08967038595668693,1058.4302165137265,1111.3537378427402,0.0476207705313918
m12_joint_hybrid_synergy,25/26,BTTS,272,136,-2.3393656757571493,1.7108180068214096,4.678731644711703,3.421637018314642,1.367395670454914,0.1715013186773071,1.564313032938868,5.239901524277756,7.324414930090303,0.2985386320126475,0.21357515212748623,0.7652920954966134,0.8308783780277575,-9.418783354356472e-8,0.0347081174926022,370.48410610787977,377.072066224611,0.017471355496291086
m12_joint_hybrid_synergy,25/26,OU2.5,382,191,-2.4670788330332867,1.9525004647853546,4.934158311328897,3.9050017144846034,1.2635483085774075,0.20639219698099442,3.3666143458428435,3.3977665741886516,4.8147763610541485,0.9908315572404361,0.6992254869976465,0.3217678371939261,0.48441112500264616,-9.650008689093157e-8,0.06133117495125697,524.9729907546854,529.5644459477993,0.008670248216713805
m12_hierarchical_kappa,all,all,2899,627,-2.2493779598132946,0.13065963982921083,4.538936514018261,0.3194549312869916,14.208378301540684,8.128614910427967e-46,2.0359717410690927,0.7309397740924609,0.8042696134018061,2.78541654624961,2.531454262529671,0.005345899904865766,0.011359063071258868,-7.512424542978865e-8,0.06705966047294357,3710.4263669720776,3895.875497625732,0.04760140070355756
m12_hierarchical_kappa,all,1X2,1785,595,-2.296711511647747,0.2769659858257002,4.716890431488241,0.8110432504518017,5.815830942259415,6.033341935833548e-9,1.985113435594599,1.01591627627091,1.2552158152229402,1.9540128275937154,1.5814917335486414,0.050699700185511676,0.11376564757211123,-6.16479245529784e-8,0.07761756255880284,2181.4963980748626,2272.3555808125334,0.03998457966036373
m12_hierarchical_kappa,all,BTTS,356,178,-1.7635272299539149,1.4704750050268878,3.5270542546181995,2.9409508921732566,1.199290428141707,0.23041503569876398,-1.0466919327051758,4.619208457218077,6.401983910733297,-0.2265955179116439,-0.1634949333362641,0.8207382778372103,0.8701287620905852,-9.845130860319047e-8,0.033011436838092045,486.51288130146634,493.5207925586821,0.014199829800245922
m12_hierarchical_kappa,all,OU2.5,758,379,-2.9752431185711923,1.2749318626538102,5.950487206584089,2.5498641848355064,2.33364868684877,0.019614125010915508,5.1012802418621,2.30205002699604,3.25091071792249,2.2159727990441604,1.5691849713799884,0.02669336509648231,0.1166048450001432,-9.590366268031982e-8,0.050069361651082375,1039.6031311120328,1050.8111257288774,0.010666041063345566
m12_hierarchical_kappa,24/25,all,1372,318,-2.3539052002849328,0.196834633283897,4.817498680539275,0.49145118460999404,9.80259857214984,1.0972584929161953e-22,3.371119317273914,1.1801734984545085,1.3241373384532669,2.8564607845274868,2.545898540412537,0.00428392920598282,0.010899686327903791,-6.157757453921331e-8,0.05723550657187633,1753.1690271748428,1834.0749815188678,0.04411267541364294
