model,match_id,selection,prob_model,prob_fair,y,spread,family,odds_close,season,match_date,logloss_model,logloss_market,split
m12_hierarchical_kappa,14035552,draw,0.26170426940455127,0.1952355172230395,0.0,0.06646875218151177,1X2,5.112552800358478,25/26,2025-11-22,0.3034108156840438,0.21720561234886535,all
m12_hierarchical_kappa,14035552,home,0.4515644644503737,0.6670257103782683,1.0,-0.21546124592789462,1X2,1.496421914144865,25/26,2025-11-22,0.7950371379108202,0.4049266875151473,all
m12_hierarchical_kappa,14035552,btts_no,0.4925452937348336,0.47046459142336067,1.0,0.02208070231147291,BTTS,2.14,25/26,2025-11-22,0.708168855624415,0.7540345801247872,all
m12_hierarchical_kappa,14035552,btts_yes,0.507454628697479,0.5295354085766394,0.0,-0.02208077987916035,BTTS,1.901278383540388,25/26,2025-11-22,0.7081686981410683,0.7540345801247873,all
m12_hierarchical_kappa,14035552,over_25,0.4677340457165208,0.5860805860805861,1.0,-0.11834654036406533,OU2.5,1.6949999999999998,25/26,2025-11-22,0.7598554229793529,0.5342979799511328,all
m12_hierarchical_kappa,14035552,under_25,0.5322658767157917,0.4139194139194139,0.0,0.11834646279637784,OU2.5,2.4,25/26,2025-11-22,0.759855257142203,0.5342979799511328,all
m12_hierarchical_kappa,14035553,away,0.3113597166522096,0.24631260021179083,0.0,0.06504711644041875,1X2,4.075,25/26,2025-12-06,0.3730362294289462,0.2827775860803259,all
m12_hierarchical_kappa,14035553,draw,0.25791679771292864,0.25250914361334525,1.0,0.005407654099583381,1X2,3.9750000000000005,25/26,2025-12-06,1.3551182355562086,1.376307818592293,all
m12_hierarchical_kappa,14035553,home,0.4307234034915466,0.5011782561748639,0.0,-0.0704548526833173,1X2,2.0027282379003344,25/26,2025-12-06,0.5633888531122424,0.6955064738546468,all
m12_hierarchical_kappa,14035553,btts_no,0.46696539771121687,0.4577779508758277,0.0,0.00918744683538919,BTTS,2.1700000000000004,25/26,2025-12-06,0.6291689370571111,0.6120796767094214,all
m12_hierarchical_kappa,14035553,btts_yes,0.5330345201454677,0.5422220491241723,1.0,-0.009187528978704562,BTTS,1.8320504579352808,25/26,2025-12-06,0.6291690911621567,0.6120796767094214,all
m12_hierarchical_kappa,14035553,over_25,0.49421866919690033,0.5215189873417723,0.0,-0.027300318144871938,OU2.5,1.89,25/26,2025-12-06,0.6816508556625457,0.7371387498414798,all
m12_hierarchical_kappa,14035553,under_25,0.5057812486597845,0.47848101265822784,1.0,0.02730023600155662,OU2.5,2.06,25/26,2025-12-06,0.6816510180713117,0.7371387498414795,all
m12_hierarchical_kappa,14035554,away,0.3427897824882302,0.2920677452017543,0.0,0.050722037286475896,1X2,3.409638640004335,25/26,2025-11-15,0.41975134590431834,0.3454068751797613,all
m12_hierarchical_kappa,14035554,draw,0.259263726957297,0.2764479369692471,0.0,-0.017184210011950085,1X2,3.6022893874936868,25/26,2025-11-15,0.300110623860878,0.32358277554001663,all
m12_hierarchical_kappa,14035554,home,0.3979464238822331,0.4314843178289986,1.0,-0.033537893946765485,1X2,2.3079528696417313,25/26,2025-11-15,0.9214378961201144,0.8405241125049577,all
