model,config,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476798,2024-08-10,1X2_draw,draw,3.767684685598983,0.0010009579808133316,0.0027149293529366357,2.7123309918870033,0.2377447800822462,0.2648138643174291
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476798,2024-08-10,O/U 2.5_over_25,over_25,1.78,0.00034224572761019413,0.00026161263418523237,0.7644,0.5805114581730093,0.5615763546798029
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476799,2024-08-10,1X2_away,away,3.0885593220338983,0.00012683464870763742,-0.00012683464870763742,-1.0,0.3293503406211431,0.32377555220194815
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476800,2024-08-10,1X2_away,away,2.8321376674892913,0.0015905378939003489,-0.0015905378939003489,-1.0,0.3657389212139357,0.35309018042421175
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476800,2024-08-10,1X2_home,home,2.594362346924865,0.0011735176944849986,0.0018335921770262198,1.5624750999863677,0.39151213270279994,0.3854511692190239
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476623,2024-08-17,1X2_away,away,5.060995194239675,0.005999195847303586,-0.005999195847303586,-1.0,0.25559825816905335,0.1974839279256179
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476623,2024-08-17,1X2_draw,draw,3.9064170692123628,0.001712223820232247,-0.001712223820232247,-1.0,0.2562660773009658,0.25585215107936365
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476629,2024-08-17,1X2_away,away,4.570148845656838,0.012156332549670485,-0.012156332549670485,-1.0,0.32170703654287947,0.21881125402520155
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476629,2024-08-17,1X2_draw,draw,3.787970940105405,0.006196365375408442,-0.006196365375408442,-1.0,0.28368177103454234,0.26399357751466107
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476631,2024-08-17,O/U 2.5_over_25,over_25,1.9623585164605661,0.020395627981665672,0.01923534816098304,0.9431113461313548,0.6364935527744491,0.5090861856949166
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476634,2024-08-17,1X2_away,away,5.353504132128758,0.013749905000241742,0.05866306287023169,4.2664340494861825,0.3144886955574864,0.18679354219576588
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476634,2024-08-17,1X2_draw,draw,3.9784325487363694,0.005028804128076747,-0.005028804128076747,-1.0,0.26223600442315065,0.2513552731508846
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476634,2024-08-17,O/U 2.5_under_25,under_25,2.0,0.002641117494674121,0.0025882951447806384,0.98,0.5262790848687566,0.5
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476790,2024-08-17,1X2_away,away,3.914204570788286,0.009069557115964869,-0.009069557115964869,-1.0,0.3340715453840541,0.25489345623156623
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476790,2024-08-17,1X2_draw,draw,3.95,0.0016363583340693096,-0.0016363583340693096,-1.0,0.25325325913715935,0.2525835775811697
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476790,2024-08-17,O/U 2.5_under_25,under_25,2.2555555555555555,0.005689528321682156,0.007000648514923133,1.2304444444444445,0.4844444486554672,0.4433497536945813
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476792,2024-08-17,1X2_away,away,2.8329495552517314,0.0016619805485621763,-0.0016619805485621763,-1.0,0.34803072195307555,0.3529889892130965
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476792,2024-08-17,1X2_home,home,2.7562132504692642,0.005163031077284104,0.008886035918700724,1.721088985459879,0.40018033143623527,0.3628166288765004
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476795,2024-08-17,1X2_away,away,2.834997837291151,0.012017748517062438,-0.012017748517062438,-1.0,0.45064168838892643,0.3527339551537376
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476795,2024-08-17,1X2_draw,draw,3.817201367811728,0.0011955640512733743,0.003300781786942803,2.7608573404554932,0.23137289541053696,0.2619720322937184
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476795,2024-08-17,O/U 2.5_over_25,over_25,1.764069264069264,0.00440316889084962,-0.00440316889084962,-1.0,0.6066989574772618,0.5668711656441718
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476796,2024-08-17,1X2_away,away,3.8169079807403183,0.002901100132140233,0.008008689472849561,2.760569821125512,0.29213245596290355,0.2616190164063841
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476621,2024-08-24,O/U 2.5_under_25,under_25,2.22,0.008367427061617682,0.010004095794870101,1.1956000000000002,0.5110775043414852,0.445
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476622,2024-08-24,1X2_home,home,2.932907058611918,0.007405883727378409,-0.007405883727378409,-1.0,0.39228116739179586,0.33962855207294057
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476622,2024-08-24,O/U 2.5_under_25,under_25,2.018351124824413,0.016711546589951706,-0.016711546589951706,-1.0,0.5944790111890423,0.4954539315288836
