model,fold,n_teams,n_draws,kappa_global_mean,kappa_global_lo,kappa_global_hi,nu_mean,sigma_kappa_mean,sigma_kappa_lo,sigma_kappa_hi,p_sigma_gt_005,n_teams_separated,delta_max,delta_min
m12_joint_hybrid_synergy,29,23,3200,1.0945392158348786,1.018586089490942,1.1768631628176802,3.6525237849393335,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,30,23,3200,1.08429673202376,1.0015099531511709,1.158205420767869,3.611417349943114,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,31,23,3200,1.0929005265189986,1.0129566803511758,1.1680924486820752,3.6593615113468574,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,32,23,3200,1.104485215800586,1.0305786974602704,1.189860471325399,3.6136338049440258,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,33,23,3200,1.1101622258091917,1.0302149870800446,1.1894416886595733,3.62103761204454,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,34,23,3200,1.1166796558918366,1.0382774609978012,1.1961954996666104,3.5019046755077428,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,35,23,3200,1.1212984980915288,1.0451072877731156,1.2065029995497532,3.487495786092654,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,36,23,3200,1.1298939552548513,1.0525211952472306,1.2033914632357878,3.58615061025403,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,37,23,3200,1.113754030053346,1.0409029943411001,1.1909041323996148,3.6609869967357644,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,38,23,3200,1.1192733230111935,1.042102629945167,1.188463373012895,3.7660167553350705,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,39,23,3200,1.1119612591979537,1.0378325646407702,1.1839039974033634,3.837615108314402,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_joint_hybrid_synergy,40,23,3200,1.1100072718463116,1.0397804475023449,1.18512999080933,3.8554679387963713,NaN,NaN,NaN,NaN,0,NaN,NaN
m12_hierarchical_kappa,1,23,3200,1.1286514101612746,1.0482630331656815,1.2063624054695719,3.9746534123853814,0.043493480773884735,1.6316697140488652e-5,0.09055874521334088,0.3596875,0,0.017175211848132053,-0.016851162058747454
m12_hierarchical_kappa,2,25,3200,1.1047986195324544,1.0245802590263906,1.1949950358049803,3.874621832623825,0.045794681160020376,7.099370328172061e-5,0.09546795657829557,0.375,0,0.01589113458726226,-0.016538570585655846
m12_hierarchical_kappa,3,25,3200,1.089694047602191,1.0090910462450302,1.1738491954158747,3.9832695835757206,0.04426936101347124,3.3367225644545936e-5,0.09251011123667109,0.3590625,0,0.014118546055822846,-0.016011153254339744
m12_hierarchical_kappa,4,25,3200,1.0883569377808344,1.0072259613698842,1.1691814247521604,4.005511951771147,0.04396331299659172,1.9552454698809656e-5,0.09230293125212105,0.3634375,0,0.020010786830093483,-0.017253577358949623
m12_hierarchical_kappa,5,25,3200,1.0731569437410797,0.9938637318930761,1.1493664120353417,3.9747395640783454,0.04550207370617831,2.213604036516285e-5,0.09502313214380687,0.3878125,0,0.021592342224696335,-0.016305407443951564
m12_hierarchical_kappa,6,25,3200,1.080149145191411,0.9973146702466118,1.1590648759140263,3.665318630491538,0.04899960547244464,0.00010817047627895448,0.10308226893295135,0.415625,0,0.030773886636152655,-0.018815242894738914
m12_hierarchical_kappa,7,25,3200,1.0756491485492854,0.9886564540668905,1.1566986009071019,3.5140752973752467,0.04847000037538086,2.9669821778419334e-5,0.1002659376048233,0.41375,0,0.025475112484855993,-0.020594874288854415
