model,fold,r_hat_max,ess_bulk_min,ess_tail_min,divergences,converged,runtime_seconds
m12_hierarchical_kappa,5,1.0082150078202547,1368,1045,0,true,611.5902146756649
m12_hierarchical_kappa,6,1.0067111152054842,1184,1135,0,true,611.5902146756649
m12_hierarchical_kappa,7,1.004696346953557,1144,1485,0,true,611.5902146756649
m12_hierarchical_kappa,8,1.0056280174890067,1241,1347,0,true,611.5902146756649
m12_hierarchical_kappa,9,1.0057035584806158,1081,1038,0,true,611.5902146756649
m12_hierarchical_kappa,10,1.0052625586021702,910,1237,0,true,611.5902146756649
m12_hierarchical_kappa,11,1.0082298173135735,1258,859,0,true,611.5902146756649
m12_hierarchical_kappa,12,1.0060158816898388,1055,464,0,true,611.5902146756649
m12_hierarchical_kappa,13,1.0065061878611423,1548,1589,0,true,611.5902146756649
m12_hierarchical_kappa,14,1.0053837442467737,1139,379,0,true,611.5902146756649
m12_hierarchical_kappa,15,1.0062089531709295,1321,1283,0,true,611.5902146756649
m12_hierarchical_kappa,16,1.006216979687121,1296,1154,0,true,611.5902146756649
m12_hierarchical_kappa,17,1.005771274516555,1128,927,0,true,611.5902146756649
m12_hierarchical_kappa,18,1.0054781668854396,1226,1061,0,true,611.5902146756649
m12_hierarchical_kappa,19,1.0048225970975888,1205,1377,0,true,611.5902146756649
m12_hierarchical_kappa,20,1.0041982608170061,974,1099,0,true,611.5902146756649
m12_hierarchical_kappa,21,1.0039482528851775,943,958,0,true,611.5902146756649
m12_hierarchical_kappa,22,1.0061851261430994,1233,796,0,true,611.5902146756649
m12_hierarchical_kappa,23,1.0068410796289768,1521,1356,0,true,611.5902146756649
m12_hierarchical_kappa,24,1.0040443654815099,1361,723,0,true,611.5902146756649
m12_hierarchical_kappa,25,1.0049061895176956,1406,1271,0,true,611.5902146756649
m12_hierarchical_kappa,26,1.0043350875172048,1139,1233,0,true,611.5902146756649
m12_hierarchical_kappa,27,1.0075955731147006,1259,1226,0,true,611.5902146756649
m12_hierarchical_kappa,28,1.0066492764189514,1316,1331,0,true,611.5902146756649
m12_hierarchical_kappa,29,1.00664152580449,1575,1184,0,true,611.5902146756649
m12_hierarchical_kappa,30,1.005011096170381,1424,1036,0,true,611.5902146756649
m12_hierarchical_kappa,31,1.0064745375101958,1114,1391,0,true,611.5902146756649
m12_hierarchical_kappa,32,1.006599311491928,1072,976,0,true,611.5902146756649
m12_hierarchical_kappa,33,1.0052338821224496,1277,1218,0,true,611.5902146756649
m12_hierarchical_kappa,34,1.0064386466385342,1259,1224,0,true,611.5902146756649
m12_hierarchical_kappa,35,1.006654854626393,1325,1260,0,true,611.5902146756649
m12_hierarchical_kappa,36,1.003891475139292,961,631,0,true,611.5902146756649
m12_hierarchical_kappa,37,1.005733097549307,1063,1165,0,true,611.5902146756649
m12_hierarchical_kappa,38,1.0053794729940306,1032,1245,0,true,611.5902146756649
m12_hierarchical_kappa,39,1.0050183655676241,1107,1375,0,true,611.5902146756649
m12_hierarchical_kappa,40,1.0080817368665544,1211,1301,0,true,611.5902146756649
m12_joint_hybrid_synergy,1,1.0067343109695708,1031,900,0,true,286.3579915225506
m12_joint_hybrid_synergy,2,1.0059279151247114,1381,1485,0,true,286.3579915225506
m12_joint_hybrid_synergy,3,1.0045153518857277,1024,1392,1,true,286.3579915225506
m12_joint_hybrid_synergy,4,1.0051896345827411,1047,1693,0,true,286.3579915225506
m12_joint_hybrid_synergy,5,1.006784005051619,881,1420,0,true,286.3579915225506
m12_joint_hybrid_synergy,6,1.0045262941103639,1062,1509,0,true,286.3579915225506
m12_joint_hybrid_synergy,7,1.0062837545116896,1071,1393,0,true,286.3579915225506
m12_joint_hybrid_synergy,8,1.0057597105212084,1020,1195,0,true,286.3579915225506
m12_joint_hybrid_synergy,9,1.0051828811324872,1010,1468,0,true,286.3579915225506
m12_joint_hybrid_synergy,10,1.0063850234075995,935,1188,0,true,286.3579915225506
m12_joint_hybrid_synergy,11,1.0055109561371454,1146,1691,0,true,286.3579915225506
m12_joint_hybrid_synergy,12,1.010449852466397,1089,634,0,true,286.3579915225506
m12_joint_hybrid_synergy,13,1.0058460526148245,1013,1473,0,true,286.3579915225506
m12_joint_hybrid_synergy,14,1.0049513701207837,1286,1276,0,true,286.3579915225506
m12_joint_hybrid_synergy,15,1.0039567984958515,1023,941,0,true,286.3579915225506
m12_joint_hybrid_synergy,16,1.004000687729779,1258,1410,0,true,286.3579915225506
m12_joint_hybrid_synergy,17,1.003639410717619,1289,1563,0,true,286.3579915225506
m12_joint_hybrid_synergy,18,1.0062676462687161,1019,1620,0,true,286.3579915225506
m12_joint_hybrid_synergy,19,1.0060080093789727,1113,1434,1,true,286.3579915225506
m12_joint_hybrid_synergy,20,1.0043602087244259,1335,1518,0,true,286.3579915225506
m12_joint_hybrid_synergy,21,1.0051926981591344,1080,1289,0,true,286.3579915225506
m12_joint_hybrid_synergy,22,1.0057278619822099,1312,1528,0,true,286.3579915225506
m12_joint_hybrid_synergy,23,1.0071434695437227,1378,1718,0,true,286.3579915225506
m12_joint_hybrid_synergy,24,1.0081897503683335,1081,1211,0,true,286.3579915225506
m12_joint_hybrid_synergy,25,1.0072383646268035,1423,1241,1,true,286.3579915225506
m12_joint_hybrid_synergy,26,1.0057417545164675,1281,1346,0,true,286.3579915225506
m12_joint_hybrid_synergy,27,1.004169220849595,1509,1421,0,true,286.3579915225506
m12_joint_hybrid_synergy,28,1.0079241974724489,1484,1374,0,true,286.3579915225506
m12_joint_hybrid_synergy,29,1.0055252024193817,1131,1016,0,true,286.3579915225506
m12_joint_hybrid_synergy,30,1.0055745314535294,1268,1034,0,true,286.3579915225506
m12_joint_hybrid_synergy,31,1.0037748160087412,1086,1395,0,true,286.3579915225506
m12_joint_hybrid_synergy,32,1.0076289794236382,1460,1591,0,true,286.3579915225506
m12_joint_hybrid_synergy,33,1.0040530775850611,1274,1123,0,true,286.3579915225506
m12_joint_hybrid_synergy,34,1.0050543390820557,1227,1557,0,true,286.3579915225506
m12_joint_hybrid_synergy,35,1.005881080640509,1034,1196,0,true,286.3579915225506
m12_joint_hybrid_synergy,36,1.0051942536486778,958,1730,0,true,286.3579915225506
m12_joint_hybrid_synergy,37,1.0057579911204517,1171,1043,0,true,286.3579915225506
m12_joint_hybrid_synergy,38,1.0050785747189175,1117,1540,0,true,286.3579915225506
m12_joint_hybrid_synergy,39,1.006404836576462,1185,1627,0,true,286.3579915225506
m12_joint_hybrid_synergy,40,1.006071228975896,1109,1490,0,true,286.3579915225506
