idx,date,n_fixtures,n_bets,bankroll_open,bankroll_close,stake_frac,pnl_frac,exposure,k_risk,capped,model,policy,opening_drawdown,drawdown_trust_multiplier
18,2024-12-07,8,16,1370.776044952588,1439.0377216433096,0.05541414469307328,0.04979783309029362,0.055414144693073285,0.2643598940848135,false,m13_joint_composite,P_baseline,-0.002337250175010519,1.0
19,2024-12-14,9,22,1439.0377216433096,1578.3220303523212,0.08896297065490943,0.09678989411754677,0.08896297065490943,0.2710764681724848,false,m13_joint_composite,P_baseline,0.0,1.0
20,2024-12-17,3,7,1578.3220303523212,1568.6152482784732,0.03560735461687829,-0.006150064364039415,0.03560735461687829,0.2800108121313581,false,m13_joint_composite,P_baseline,0.0,1.0
21,2024-12-21,9,24,1568.6152482784732,1579.8400135462414,0.08290212254572761,0.007155843525101004,0.08290212254572764,0.2684538402225366,false,m13_joint_composite,P_baseline,-0.006150064364039309,1.0
22,2024-12-28,8,32,1579.8400135462414,1705.6103215125124,0.14069219557472362,0.0796095217793329,0.14069219557472362,0.2699771683101026,false,m13_joint_composite,P_baseline,0.0,1.0
23,2025-01-04,8,16,1705.6103215125124,1672.4330840553246,0.06673842129745831,-0.019451827324641666,0.0667384212974583,0.2681185429226621,false,m13_joint_composite,P_baseline,0.0,1.0
24,2025-01-08,1,5,1672.4330840553246,1708.4802746169858,0.02000355318692402,0.021553741614734084,0.02000355318692402,0.27214675343411404,false,m13_joint_composite,P_baseline,-0.01945182732464157,1.0
25,2025-01-11,5,16,1708.4802746169858,1634.6510837025044,0.06194889029657679,-0.04321337039201853,0.06194889029657679,0.2721536319121216,false,m13_joint_composite,P_baseline,0.0,1.0
26,2025-01-14,1,2,1634.6510837025044,1610.5247417660994,0.014759322143388874,-0.014759322143388874,0.014759322143388874,0.25905806505987455,false,m13_joint_composite,P_baseline,-0.04321337039201856,1.0
27,2025-01-17,1,3,1610.5247417660994,1646.3012394177645,0.01397112338530887,0.02221418691924763,0.01397112338530887,0.26805039908466677,false,m13_joint_composite,P_baseline,-0.057334892480890076,0.75
28,2025-01-18,3,9,1646.3012394177645,1558.4114999991316,0.053386183108090436,-0.053386183108090436,0.05338618310809044,0.26353750959701666,false,m13_joint_composite,P_baseline,-0.03639435358020793,1.0
29,2025-01-21,1,4,1558.4114999991316,1606.0885488618044,0.016558071274194,0.03059336308972259,0.016558071274194,0.2686794229631678,false,m13_joint_composite,P_baseline,-0.08783758106396466,0.75
30,2025-01-25,8,16,1606.0885488618044,1563.2398970786903,0.09667195034965169,-0.026678885054924162,0.09667195034965169,0.2655328326319781,false,m13_joint_composite,P_baseline,-0.05993146498465485,0.75
31,2025-01-28,1,4,1563.2398970786903,1596.6582317486996,0.018135692517049877,0.02137761116029596,0.018135692517049877,0.2763970730916884,false,m13_joint_composite,P_baseline,-0.08501144537408023,0.75
32,2025-02-01,9,21,1596.6582317486996,1803.740417380315,0.11394357866829564,0.12969725236991617,0.11394357866829566,0.26992844737672744,false,m13_joint_composite,P_baseline,-0.06545117583716609,0.75
33,2025-02-04,1,1,1803.740417380315,1805.4849098270406,0.011610476803327885,0.0009671527177172124,0.011610476803327885,0.28928334674083395,false,m13_joint_composite,P_baseline,0.0,1.0
34,2025-02-08,8,23,1805.4849098270406,1813.1066942041123,0.09622909756464663,0.004221461135225736,0.09622909756464662,0.27129516715342505,false,m13_joint_composite,P_baseline,0.0,1.0
35,2025-02-11,1,3,1813.1066942041123,1818.0884206666726,0.007806397424693635,0.002747619033389042,0.007806397424693635,0.27874874915143977,false,m13_joint_composite,P_baseline,0.0,1.0
36,2025-02-15,8,26,1818.0884206666726,1818.605778802682,0.09216992726828724,0.00028456159234528655,0.09216992726828727,0.2662443134986299,false,m13_joint_composite,P_baseline,0.0,1.0
37,2025-02-22,9,26,1818.605778802682,1842.592821698989,0.13591006114338644,0.013189798017742775,0.13591006114338644,0.2710979225695418,false,m13_joint_composite,P_baseline,0.0,1.0
38,2025-02-25,1,3,1842.592821698989,1802.6378186782997,0.02168411954619914,-0.02168411954619914,0.02168411954619914,0.26963446825387916,false,m13_joint_composite,P_baseline,0.0,1.0
39,2025-03-01,9,27,1802.6378186782997,1917.6010206744454,0.12768680419136236,0.06377498619242179,0.12768680419136236,0.26712823402062136,false,m13_joint_composite,P_baseline,-0.021684119546199088,1.0
40,2025-03-04,2,6,1917.6010206744454,1861.1794722141926,0.04214273793038644,-0.02942298624789466,0.04214273793038644,0.26198876220119166,false,m13_joint_composite,P_baseline,0.0,1.0
41,2025-03-08,9,27,1861.1794722141926,1727.2542324143578,0.14623879840737716,-0.07195718725637336,0.1462387984073772,0.2681331145997828,false,m13_joint_composite,P_baseline,-0.029422986247894523,1.0
42,2025-03-11,2,7,1727.2542324143578,1669.43223982922,0.04757633938398867,-0.03347624889262211,0.047576339383988676,0.26768783329726425,false,m13_joint_composite,P_baseline,-0.09926297817318652,0.75
43,2025-03-15,9,25,1669.43223982922,1780.7364609092526,0.11088065289151179,0.06667190103589885,0.1108806528915118,0.25665544229626186,false,m13_joint_composite,P_baseline,-0.12941627490266006,0.5
44,2025-03-22,9,33,1780.7364609092526,1751.3843868986107,0.14384960181823153,-0.016483109463403995,0.14384960181823153,0.2659584501470669,false,m13_joint_composite,P_baseline,-0.07137280293950599,0.75
45,2025-03-29,9,20,1751.3843868986107,1870.7198800143567,0.1001786262756411,0.06813780801544536,0.10017862627564111,0.27056780910415595,false,m13_joint_composite,P_baseline,-0.08667946667934823,0.75
46,2025-04-05,9,23,1870.7198800143567,1924.5974297482476,0.09820268421273762,0.02880043683155662,0.09820268421273765,0.26251433450790357,false,m13_joint_composite,P_baseline,-0.024447807523381493,1.0
47,2025-04-12,9,29,1924.5974297482476,1886.4436497617485,0.13757705769930006,-0.019824291250087455,0.1375770576993001,0.2669491141692754,false,m13_joint_composite,P_baseline,0.0,1.0
48,2025-04-19,9,22,1886.4436497617485,1928.1063989576553,0.1139957731669667,0.02208533989402157,0.11399577316696669,0.2709151943873707,false,m13_joint_composite,P_baseline,-0.019824291250087556,1.0
49,2025-04-26,8,17,1928.1063989576553,1873.176374615247,0.0645864229014402,-0.028489104321267646,0.06458642290144023,0.26715379428569463,false,m13_joint_composite,P_baseline,0.0,1.0
50,2025-05-03,9,29,1873.176374615247,1918.8055355438444,0.2,0.024359244301257948,0.2,0.2752532887029542,true,m13_joint_composite,P_baseline,-0.028489104321267722,1.0
51,2025-08-02,9,27,1918.8055355438444,1791.566965141066,0.12869808852985398,-0.06631134215834726,0.12869808852985395,0.26999660501765244,false,m13_joint_composite,P_baseline,-0.004823833072095551,1.0
52,2025-08-09,9,29,1791.566965141066,1846.3054703533855,0.20000000000000004,0.030553424056917484,0.2,0.29313670689233506,true,m13_joint_composite,P_baseline,-0.07081530038508421,0.75
53,2025-08-16,6,21,1846.3054703533855,1999.4554410531755,0.11120331677206988,0.08294942151174853,0.11120331677206982,0.2623239969705112,false,m13_joint_composite,P_baseline,-0.04242552623055018,1.0
