model,container,form,scheme,trust,target_mdd,risk_lambda,kelly_fraction,total_return_pct,sharpe_ann,calmar,realised_mdd,deepest_mdd,n_settings,reached
m12_joint_hybrid_synergy,std_D_tot,std,D_tot,canonical_P1,-16.148567670505155,18.0,0.4,97.74981431103258,1.5773175106465755,6.851712677275487,-14.266478895887062,-27.179740482406668,24,true
m12_joint_hybrid_synergy,inv_A_pool,inv,A_pool,canonical_P1,-16.148567670505155,8.0,0.6,192.23016572984636,1.7268247333281794,12.549055644254771,-15.318297342784792,-15.318297342784792,24,false
m12_joint_hybrid_synergy,inv_B_full,inv,B_full,canonical_P1,-16.148567670505155,8.0,0.6,190.5533811094378,1.7030331355615456,12.580514019482148,-15.146708696826487,-15.162309853133186,24,false
m12_joint_hybrid_synergy,inv_B_anch,inv,B_anch,canonical_P1,-16.148567670505155,8.0,0.6,195.89961337640807,1.7286674157738062,12.482401440463367,-15.694064504396838,-15.694064504396838,24,false
m12_joint_hybrid_synergy,inv_C_sqrt,inv,C_sqrt,canonical_P1,-16.148567670505155,8.0,0.6,191.67685607816844,1.7198569038600917,12.52956834899732,-15.297961648735281,-15.297961648735281,24,false
m12_joint_hybrid_synergy,inv_D_sup,inv,D_sup,canonical_P1,-16.148567670505155,8.0,0.6,189.63196450502008,1.698245880556978,12.536264188607037,-15.126672639633561,-15.253810600349698,24,false
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,canonical_P1,-16.148567670505155,8.0,0.6,192.7317691875413,1.7129702540768035,12.529559988655674,-15.38216580327175,-15.38216580327175,24,false
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,canonical_P1,-16.148567670505155,8.0,0.6,192.42491675207432,1.728627653676441,12.53429209953806,-15.35187749128377,-15.35187749128377,24,false
m05_joint_production_wealth,raw,none,none,flat_1.0,-22.73179591720139,23.0,0.5,93.23398562246108,1.1325702219683662,4.101479089556226,-22.73179591720139,-44.77317512491638,24,true
m05_joint_production_wealth,std_A_pool,std,A_pool,flat_1.0,-22.73179591720139,15.0,0.3,83.96363957085636,1.1583339119485285,4.195046730133662,-20.014947382524422,-32.944321359493586,24,true
m05_joint_production_wealth,std_B_full,std,B_full,flat_1.0,-22.73179591720139,15.0,0.3,85.66159284810423,1.1687358465463256,4.316857876096297,-19.84350546318365,-32.883355965654516,24,true
m05_joint_production_wealth,std_B_anch,std,B_anch,flat_1.0,-22.73179591720139,15.0,0.3,86.04436214953613,1.1751399413928658,4.308314387265268,-19.97169993068992,-32.82760285963044,24,true
m05_joint_production_wealth,std_C_sqrt,std,C_sqrt,flat_1.0,-22.73179591720139,15.0,0.3,84.58311505058944,1.1622579208740416,4.23628296892375,-19.96635155655766,-32.955395662120154,24,true
m05_joint_production_wealth,std_D_sup,std,D_sup,flat_1.0,-22.73179591720139,15.0,0.3,85.52598261792205,1.1662409545995729,4.274853291440546,-20.006764393334628,-33.07807121639118,24,true
m05_joint_production_wealth,std_D_sup_anch,std,D_sup_anch,flat_1.0,-22.73179591720139,15.0,0.3,85.41965473562891,1.1675896788141766,4.255296502666842,-20.073725692697433,-33.02038721831587,24,true
m05_joint_production_wealth,std_D_tot,std,D_tot,flat_1.0,-22.73179591720139,15.0,0.5,84.53734498677159,1.1648775265819837,4.271739495022709,-19.789911132285038,-32.73537177080916,24,true
m05_joint_production_wealth,inv_A_pool,inv,A_pool,flat_1.0,-22.73179591720139,12.0,0.5,82.9149560807897,1.1335565561472756,3.7609179094342697,-22.046467930820125,-29.85051195446657,24,true
m05_joint_production_wealth,inv_B_full,inv,B_full,flat_1.0,-22.73179591720139,12.0,0.4,81.70533560015639,1.107495259722115,3.6985539633302533,-22.091156817024576,-29.93266994599607,24,true
m05_joint_production_wealth,inv_B_anch,inv,B_anch,flat_1.0,-22.73179591720139,12.0,0.4,85.13713344922138,1.1416587381724779,3.8197150473886956,-22.288870345819227,-29.96002611864526,24,true
