model,spec,n_shifted,w_p10,w_median,w_p90,w_mean,var_retention_median,market_share_median
m05_joint_production_wealth,inv_w0.25_s0.15,623,0.25820468718227624,0.4306228133110952,0.8628916413235597,0.4956709190664512,0.18543601747887337,0.5693771866889048
m05_joint_production_wealth,inv_w0.25_s0.25,623,0.25296408954819216,0.3208225948109902,0.5932016224669211,0.37723600188623996,0.10292713921017926,0.6791774051890098
m05_joint_production_wealth,inv_w0.25_s0.35,623,0.2515137571605032,0.28701125479512957,0.45108035596746177,0.32503417180042704,0.08237546091521457,0.7129887452048704
m05_joint_production_wealth,inv_w0.25_s0.50,623,0.25074212315441097,0.26836957950393825,0.35636384329525506,0.2903450261035005,0.07202223133866713,0.7316304204960618
m05_joint_production_wealth,inv_w0.25_s0.75,623,0.250329923217541,0.258220520163706,0.29928588137716455,0.26896796049897437,0.0666778370611375,0.741779479836294
m05_joint_production_wealth,inv_w0.25_s1.00,623,0.2501855996717292,0.2546351880602824,0.27813491591912676,0.2608964990151729,0.06483907900728808,0.7453648119397176
m05_joint_production_wealth,inv_w0.40_s0.15,623,0.406563749745821,0.5444982506488761,0.8903133130588476,0.596536735253161,0.2964783514460294,0.45550174935112386
m05_joint_production_wealth,inv_w0.40_s0.25,623,0.4023712716385538,0.45665807584879214,0.6745612979735369,0.5017888015089922,0.2085365994340316,0.5433419241512079
m05_joint_production_wealth,inv_w0.40_s0.35,623,0.4012110057284026,0.4296090038361037,0.5608642847739694,0.46002733744034174,0.18456389652017882,0.5703909961638963
m05_joint_production_wealth,inv_w0.40_s0.50,623,0.4005936985235288,0.4146956636031506,0.4850910746362041,0.43227602088280037,0.17197249349800722,0.5853043363968494
m05_joint_production_wealth,inv_w0.40_s0.75,623,0.40026393857403286,0.40657641613096485,0.43942870510173165,0.4151743683991796,0.16530438217151394,0.5934235838690352
m05_joint_production_wealth,inv_w0.40_s1.00,623,0.4001484797373834,0.40370815044822594,0.4225079327353014,0.4087171992121382,0.16298027074395477,0.5962918495517741
m05_joint_production_wealth,inv_w0.55_s0.15,623,0.5549228123093658,0.6583736879866571,0.9177349847941357,0.6974025514398708,0.4334559166817201,0.3416263120133429
m05_joint_production_wealth,inv_w0.55_s0.25,623,0.5517784537289153,0.5924935568865941,0.7559209734801526,0.626341601131744,0.3510486156249399,0.4075064431134059
m05_joint_production_wealth,inv_w0.55_s0.35,623,0.550908254296302,0.5722067528770778,0.6706482135804771,0.5950205030802562,0.3274205682311395,0.4277932471229222
