model,container,form,scheme,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,O/U 2.5_over_25,over_25,40,0.475,2.1037780288989656,0.4976471517773982,0.47674954474071757,118.50585216758675,15.253254907239931,0.017417370878343424,1.7417370878343423,12.87130941488807,2.0796371585769293,1.760298411607826,0.020897607036680643,-0.022647151777398233
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,O/U 3.5_over_35,over_35,27,0.2962962962962963,3.5830727069763517,0.29483398410985157,0.28598287353138335,42.79405938348703,7.594074762404278,0.059227198711517874,5.922719871151787,17.745628416206312,0.7509849887783788,2.426917146277174,0.008851110578468213,0.0014623121864447142
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,canonical_P1,1X2_home,home,285,0.3649122807017544,3.2511491983585503,0.3668210859481857,0.33840475895810945,1586.3991095779063,214.82580178686166,0.07806856822865864,7.806856822865864,13.541724808709734,35.58558273100121,0.9136239057617929,0.028416326990076235,-0.0019088052464312777
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,canonical_P1,1X2_away,away,359,0.2646239554317549,4.4363071444683735,0.2950484112617917,0.26252834860222346,1521.578090144333,40.82530152739063,0.022285166362632145,2.2285166362632145,2.683089470847865,34.131538956118476,0.18102086082030885,0.03252006265956825,-0.030424455830036834
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,canonical_P1,O/U 2.5_under_25,under_25,168,0.5297619047619048,2.249161958562586,0.4780513469250497,0.44968847444717897,889.2528714505407,276.3531425863073,0.1720355038202367,17.203550382023668,31.07700311785586,19.947427753034532,2.0966821707708414,0.028362872477870726,0.051710557836855076
m12_joint_hybrid_synergy,inv_D_sup_anch,inv,D_sup_anch,canonical_P1,1X2_draw,draw,165,0.23636363636363636,4.434524247940961,0.24353564502923195,0.2329331230342231,460.7525943629403,128.75751917548257,0.02955777956229738,2.9557779562297384,27.945044857210018,10.335450559845802,1.8853773348511396,0.010602521995008857,-0.007172008665595586
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,1X2_away,away,353,0.26345609065155806,4.45831367824776,0.2935929910559242,0.2614515132342555,1606.0124587588143,75.33920067834055,0.021710392814671055,2.1710392814671056,4.691071994333435,28.944467658065722,0.6390127072862329,0.03214147782166871,-0.030136900404366118
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,1X2_home,home,280,0.3678571428571429,3.27121890004154,0.36444867960416943,0.33598786171923667,1292.0393799351984,186.22530091532624,0.0901140075007374,9.01140075007374,14.413283666684084,23.285866707649156,1.9633617705841553,0.028460817884932765,0.003408463252973448
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,O/U 2.5_under_25,under_25,166,0.5180722891566265,2.2542371775606185,0.47712911703244393,0.44873159444002003,712.2228799131666,224.76599147174807,0.14921713150371702,14.921713150371701,31.558378396823095,12.836084801554428,4.298847862765055,0.028397522592423896,0.04094317212418258
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,1X2_draw,draw,175,0.24,4.3988668283778525,0.245400313156421,0.23466170636169542,525.5266809097823,116.4235997272245,0.03432305562270717,3.432305562270717,22.153699128210594,9.471339986241146,3.01775271695314,0.010738606794725575,-0.005400313156421005
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,O/U 3.5_under_35,under_35,65,0.5692307692307692,1.5671803507531177,0.6852514697674079,0.6417060521676845,504.2914848085231,-147.66336619814462,-0.13170354958693156,-13.170354958693157,-29.281352282640988,9.08862723490882,-3.9886738506112063,0.04354541759972341,-0.11602070053663871
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,BTTS_btts_yes,btts_yes,43,0.5116279069767442,1.8954337389575886,0.5467738440722009,0.5338940659746817,262.8256618057829,-97.46202746565508,-0.06719437649866512,-6.719437649866513,-37.08238639865974,4.736793183862622,-5.051322203936624,0.012879778097519168,-0.03514593709545666
m12_joint_hybrid_synergy,inv_D_tot,inv,D_tot,flat_1.0,BTTS_btts_no,btts_no,64,0.390625,2.387322431422836,0.4414445143289265,0.42119731441840125,169.70094307026008,4.645503450689121,-0.08499003684906069,-8.499003684906068,2.7374647227303717,3.058446671102723,0.3728944568929069,0.02024719991052526,-0.05081951432892651
