model,container,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m12_joint_hybrid_synergy,inv,flat_1.0,O/U 3.5_over_35,over_35,75,0.29333333333333333,3.622373596137383,0.2927479697175229,0.281773093732929,122.5062665086336,-10.980974699699871,0.04747706661920027,4.747706661920027,-8.963602444717381,3.1792054897736644,-1.0656468192181296,0.010974875984593901,0.0005853636158104081
m12_joint_hybrid_synergy,inv,flat_1.0,BTTS_btts_yes,btts_yes,30,0.4666666666666667,1.8783223007163736,0.5462731302114904,0.5384779388683332,106.3255976066842,-26.98500521646016,-0.14314703474282472,-14.314703474282473,-25.379594212375945,2.7592949589302305,-3.0172783780035237,0.007795191343157204,-0.0796064635448237
m12_joint_hybrid_synergy,inv,flat_1.0,BTTS_btts_no,btts_no,45,0.37777777777777777,2.3194594068372423,0.4483945196487541,0.43264836842426074,92.54938298307925,-3.2294066869047695,-0.13997975847185742,-13.997975847185742,-3.489387592670607,2.401783311502966,-0.4148393251577191,0.015746151224493354,-0.07061674187097633
m12_joint_hybrid_synergy,inv,flat_1.0,O/U 1.5_over_15,over_15,24,0.625,1.3471680238847197,0.7491333091703033,0.7421145376387427,76.95432310269264,-15.753565601244373,-0.15187721083587583,-15.187721083587583,-20.471319824646933,1.9970701372460395,-2.433753280656555,0.007018771531560608,-0.1241333091703033
m12_joint_hybrid_synergy,inv,flat_1.0,O/U 2.5_over_25,over_25,29,0.5517241379310345,2.1444038915751116,0.48622595490059894,0.46614209508704435,59.610481161416274,4.793057296910922,0.16534118493240654,16.534118493240655,8.040628432325581,1.5469736721024656,0.9559181329457962,0.020083859813554594,0.06549818303043553
m12_joint_hybrid_synergy,inv,canonical_P1,1X2_home,home,338,0.40532544378698226,3.1843386349957625,0.3662184487012236,0.3459119484944463,1189.7668141914878,183.2741943934164,0.13770739723737357,13.770739723737357,15.404211330096757,39.043282000853004,1.1604417916473,0.020306500206777323,0.039106995085758656
m12_joint_hybrid_synergy,inv,canonical_P1,1X2_away,away,401,0.26683291770573564,4.413434173420195,0.28889091950355544,0.2659576659432864,1056.3084782185217,49.31343197539154,0.033652783790150693,3.3652783790150695,4.668468822531776,34.663725112389926,0.3516886524455586,0.02293325356026904,-0.022058001797819804
m12_joint_hybrid_synergy,inv,canonical_P1,O/U 2.5_under_25,under_25,204,0.4852941176470588,2.2498682589391885,0.4696077682783675,0.4500140427102734,573.8885010596422,97.37912416205499,0.07388529902754039,7.388529902754039,16.968300285203785,18.83267403045267,1.2782689332299357,0.019593725568094078,0.015686349368691344
m12_joint_hybrid_synergy,inv,canonical_P1,1X2_draw,draw,136,0.21323529411764705,4.60357014899171,0.23513644745428555,0.22568976153970274,227.3384649969743,74.54546467870634,-0.0077824368274100365,-0.7782436827410036,32.79051993233898,7.460318856304355,2.4702004460939153,0.009446685914582809,-0.0219011533366385
m05_joint_production_wealth,raw,flat_1.0,1X2_away,away,387,0.2532299741602067,4.51764138321782,0.3199502890392867,0.2569541742236048,4947.085310783985,429.38668171982124,0.019304873956370698,1.9304873956370698,8.679589187269839,28.385041358455045,1.1625724380085285,0.0629961148156819,-0.06672031487907998
m05_joint_production_wealth,raw,flat_1.0,1X2_home,home,299,0.38461538461538464,3.334355077799472,0.38862019951541216,0.3273449790298226,4154.818812603033,265.1032688871375,0.13919365082401605,13.919365082401605,6.380621655100475,23.83922985430275,0.854641240908025,0.06127522048558953,-0.00400481490002752
m05_joint_production_wealth,raw,flat_1.0,1X2_draw,draw,335,0.24477611940298508,4.170606368133073,0.25291724954229494,0.24520083288061126,2222.050184206469,260.9159297986853,0.004311407620073934,0.4311407620073934,11.742125882357724,12.749524703318254,1.5727785751055348,0.007716416661683684,-0.008141130139309866
m05_joint_production_wealth,raw,flat_1.0,O/U 2.5_under_25,under_25,213,0.49765258215962443,2.2430744098720865,0.4990978680993091,0.4510746374079437,1805.4282637326116,332.95072092666555,0.09109030582367181,9.10903058236718,18.441647758316936,10.35906048033211,2.470134349990463,0.04802323069136544,-0.0014452859396846818
m05_joint_production_wealth,raw,flat_1.0,O/U 3.5_under_35,under_35,109,0.6788990825688074,1.54425995848761,0.7095350750073047,0.650062323950404,1433.879699692791,57.03180133023883,0.02377420074946971,2.377420074946971,3.9774467371605793,8.227215020955231,0.5327521672398807,0.05947275105690075,-0.03063599243849735
m05_joint_production_wealth,raw,flat_1.0,O/U 3.5_over_35,over_35,104,0.3173076923076923,3.54987776552909,0.3185683618818314,0.2868401886421718,589.15104769476,0.7477475664661366,0.09914691020969071,9.914691020969071,0.12691950042216435,3.380389826457775,0.01700001115871163,0.031728173239659596,-0.0012606695741391172
m05_joint_production_wealth,raw,flat_1.0,O/U 1.5_under_15,under_15,122,0.18032786885245902,4.9126141562014265,0.2499643938267409,0.2117536535212357,557.5205915151768,37.429734112247274,-0.16339875026789624,-16.339875026789624,6.7136056823523385,3.198902799159678,0.899242205772569,0.0382107403055052,-0.06963652497428188
m05_joint_production_wealth,raw,flat_1.0,BTTS_btts_yes,btts_yes,68,0.5147058823529411,1.8432070768447721,0.5531715653328694,0.546041827768985,556.1445196367152,-13.015987136011006,-0.06927702359170995,-6.927702359170995,-2.340396547378244,3.191007269827044,-0.313480334297725,0.007129737563884353,-0.03846568297992825
m05_joint_production_wealth,raw,flat_1.0,O/U 2.5_over_25,over_25,71,0.4788732394366197,2.0425790509202013,0.5340595542078443,0.49174982075489315,472.84199553310714,-39.563866705662555,-0.05361671647285894,-5.3616716472858945,-8.367248907545987,2.713039851963798,-1.1207365639075515,0.04230973345295119,-0.055186314771224654
m05_joint_production_wealth,raw,flat_1.0,O/U 1.5_over_15,over_15,51,0.7058823529411765,1.3528930050011507,0.7642174865414556,0.7385765280981428,429.17158781391674,-13.728197286623196,-0.05174681508389604,-5.174681508389604,-3.1987665717926244,2.4624708297260613,-0.428453210371225,0.025640958443312822,-0.05833513360027909
m05_joint_production_wealth,raw,flat_1.0,BTTS_btts_no,btts_no,45,0.35555555555555557,2.326822213943601,0.46320594808783216,0.4317957702192681,260.4022711912105,-16.072929840987182,-0.17831149902861151,-17.831149902861153,-6.17234625775787,1.4941180055022685,-0.8267441560067119,0.03141017786856404,-0.1076503925322766
m05_joint_production_wealth,raw,canonical_P1,1X2_home,home,299,0.38461538461538464,3.334355077799472,0.38862019951541216,0.3273449790298226,4599.336881173304,344.3966234004169,0.13919365082401605,13.919365082401605,7.487962554127156,35.941952347523866,0.7122136405733315,0.06127522048558953,-0.00400481490002752
m05_joint_production_wealth,raw,canonical_P1,1X2_away,away,387,0.2532299741602067,4.51764138321782,0.3199502890392867,0.2569541742236048,4232.848910514999,352.59977521014326,0.019304873956370698,1.9304873956370698,8.330081764417228,33.07799749541022,0.7923113686565008,0.0629961148156819,-0.06672031487907998
m05_joint_production_wealth,raw,canonical_P1,O/U 2.5_under_25,under_25,213,0.49765258215962443,2.2430744098720865,0.4990978680993091,0.4510746374079437,2104.9988578790458,375.27491684511585,0.09109030582367181,9.10903058236718,17.827796696442643,16.44971233813608,1.695681555134952,0.04802323069136544,-0.0014452859396846818
m05_joint_production_wealth,raw,canonical_P1,1X2_draw,draw,335,0.24477611940298508,4.170606368133073,0.25291724954229494,0.24520083288061126,1859.3847651994658,273.1147757448191,0.004311407620073934,0.4311407620073934,14.68844861249149,14.530337818929791,1.3970841046622058,0.007716416661683684,-0.008141130139309866
m05_joint_production_wealth,std,flat_1.0,1X2_away,away,395,0.2582278481012658,4.478818841545588,0.29673786341197456,0.2596784313878693,2298.355853577165,240.76241176987034,0.023280202907790072,2.328020290779007,10.475419260909808,31.475707755602816,1.0282772420020672,0.03705943202410528,-0.038510015310708745
m05_joint_production_wealth,std,flat_1.0,1X2_home,home,309,0.3786407766990291,3.303942456588508,0.3664946963630914,0.33052506527511244,1924.4894152509153,307.92957111938796,0.11864386778652641,11.86438677865264,16.000585333395563,26.355651723343996,1.5706328641602973,0.03596963108797896,0.012146080335937726
m05_joint_production_wealth,std,flat_1.0,O/U 2.5_under_25,under_25,223,0.5112107623318386,2.2222666175521053,0.47863351054358944,0.45528157139518194,833.7497692056804,120.31577387785346,0.10951625584459256,10.951625584459256,14.430681521205,11.418103091379368,1.4165295942098746,0.023351939148407497,0.03257725178824916
m05_joint_production_wealth,std,flat_1.0,1X2_draw,draw,270,0.24444444444444444,4.264310860687463,0.24334381250631634,0.24040190853773177,629.8884093509839,49.67168321270798,0.023020249366515602,2.30202493665156,7.885790955240474,8.626246218798356,0.7740768338235715,0.0029419039685845694,0.0011006319381280938
m05_joint_production_wealth,std,flat_1.0,O/U 3.5_under_35,under_35,92,0.6413043478260869,1.5501497355286105,0.6761493078466813,0.6483770290508793,381.3610686331152,16.612838420794166,-0.028000606757307245,-2.8000606757307245,4.356196735114666,5.222694095423859,0.427608466337707,0.027772278795801908,-0.03484496002059434
m05_joint_production_wealth,std,flat_1.0,O/U 3.5_over_35,over_35,93,0.27956989247311825,3.5663275681031594,0.30738092433135733,0.2858509666424946,308.2437554785683,-14.254148338379556,-0.015307255893339028,-1.530725589333903,-4.624310496168551,4.221361261282671,-0.45392677130408454,0.021529957688862733,-0.027811031858239077
m05_joint_production_wealth,std,flat_1.0,O/U 2.5_over_25,over_25,51,0.5098039215686274,2.0732132752892403,0.5165006220733662,0.48442252094041155,201.70197620708367,21.62309807213414,0.02303233151247826,2.303233151247826,10.720320384929748,2.7622843725181077,1.0523169721644816,0.03207810113295467,-0.006696700504738806
m05_joint_production_wealth,std,flat_1.0,O/U 1.5_under_15,under_15,112,0.19642857142857142,4.896821454121469,0.23336476760497912,0.21253140165298942,201.26953659265766,14.407544324817346,-0.09474184425958557,-9.474184425958557,7.158333331872408,2.7563621638642846,0.7026688930052366,0.020833365951989702,-0.0369361961764077
m05_joint_production_wealth,std,flat_1.0,O/U 1.5_over_15,over_15,40,0.7,1.3462177719354969,0.7593796575562485,0.7424287296881793,192.5084184996744,-10.077843227599706,-0.06065108248411809,-6.065108248411809,-5.2350142950328955,2.6363797023677904,-0.5138740442805241,0.016950927868069177,-0.05937965755624852
m05_joint_production_wealth,std,flat_1.0,BTTS_btts_yes,btts_yes,53,0.5849056603773585,1.82611672606579,0.5610696584287579,0.5512299774324901,189.11388484875394,-5.419608114821491,0.058035900759959146,5.803590075995914,-2.8657906949327843,2.5898919711504345,-0.28130877424038625,0.009839680996267752,0.023836001948600583
m05_joint_production_wealth,std,flat_1.0,BTTS_btts_no,btts_no,43,0.3488372093023256,2.3298972883306517,0.4544667467143693,0.4309430714373984,141.31687429470244,2.3088061931866797,-0.19418047493853746,-19.418047493853745,1.6337795501844257,1.9353176442683424,0.16037337390132395,0.023523675276970912,-0.10562953741204373
m05_joint_production_wealth,std,canonical_P1,1X2_home,home,309,0.3786407766990291,3.303942456588508,0.3664946963630914,0.33052506527511244,2152.848372287274,366.3718223294606,0.11864386778652641,11.86438677865264,17.018004010204038,38.42162278564933,1.2603640870931674,0.03596963108797896,0.012146080335937726
m05_joint_production_wealth,std,canonical_P1,1X2_away,away,395,0.2582278481012658,4.478818841545588,0.29673786341197456,0.2596784313878693,1956.7491314578901,197.34176648548322,0.023280202907790072,2.328020290779007,10.085184825836732,34.92186351013014,0.7469151352038715,0.03705943202410528,-0.038510015310708745
m05_joint_production_wealth,std,canonical_P1,O/U 2.5_under_25,under_25,223,0.5112107623318386,2.2222666175521053,0.47863351054358944,0.45528157139518194,966.6444742784805,139.56665277353488,0.10951625584459256,10.951625584459256,14.438261065704612,17.25158624111599,1.069306701090114,0.023351939148407497,0.03257725178824916
m05_joint_production_wealth,std,canonical_P1,1X2_draw,draw,270,0.24444444444444444,4.264310860687463,0.24334381250631634,0.24040190853773177,526.9788549375629,53.291891669582164,0.023020249366515602,2.30202493665156,10.112719167052017,9.404927463104528,0.7489543458427164,0.0029419039685845694,0.0011006319381280938
