model,spec,method,w_base,sigma,w_max,identity_spec,head_logloss,head_market_logloss,head_delta_logloss,head_ece,head_market_ece,head_mce,head_brier,head_rps,head_market_rps,head_n_obs,wide_logloss,wide_market_logloss,wide_ece,wide_market_ece,wide_brier,wide_market_brier,wide_n_obs,crps_all,crps_home,crps_away,lpd_all,lpd_all_market,lpd_small,lpd_small_market,n_small,lpd_large,lpd_large_market,n_large,n_shifted,w_median,w_p10,w_p90,var_retention_median,price,rates
m12_joint_hybrid_synergy,inv_w0.85_s0.35,inverse_gaussian,0.85,0.35,1.0,false,0.6335213859443959,0.633061118131463,0.00046026781293284635,0.014369929773851016,0.018347074313313467,0.18552422656813627,0.2213313129590816,0.22338770696061983,0.21091067161472066,2148,0.6330890343987984,0.6313810201519001,0.013866118449253319,0.019667429027437587,0.22106861733613634,0.22020097994061438,2442,0.6269348895013978,0.6364644142403056,0.6174053647624896,-0.6330890343987986,-0.6313810201518996,-0.6375406843459007,-0.6370898801032477,824,-0.6514929753244302,-0.6483062421337173,875,580,0.858294926509134,0.8502441519232705,0.8954848980375328,0.7366701809935212,t25,t25
m12_joint_hybrid_synergy,inv_w0.85_s0.50,inverse_gaussian,0.85,0.5,1.0,false,0.6333456523492802,0.633061118131463,0.00028453421781715615,0.017211752831434963,0.018347074313313467,0.19327841028282144,0.22125480446067816,0.22317078091189274,0.21091067161472066,2148,0.6328990810867704,0.6313810201519001,0.016288560515030498,0.019667429027437587,0.22098493843177686,0.22020097994061438,2442,0.6266664378571197,0.6360332688802427,0.6172996068339969,-0.63289908108677,-0.6313810201518996,-0.6375597511346707,-0.6370898801032477,824,-0.6509183097156132,-0.6483062421337173,875,580,0.8541234822545153,0.8501196841383912,0.8743379361353062,0.7295269229696727,t25,t25
m12_joint_hybrid_synergy,inv_w0.85_s0.75,inverse_gaussian,0.85,0.75,1.0,false,0.6332360590608062,0.633061118131463,0.00017494092934311478,0.017533842131271783,0.018347074313313467,0.1796653656095133,0.2212083937670167,0.22302470152198833,0.21091067161472066,2148,0.6327843669528851,0.6313810201519001,0.016619524069843794,0.019667429027437587,0.22093504142835174,0.22020097994061438,2442,0.6264824974242328,0.635731827296543,0.6172331675519228,-0.6327843669528846,-0.6313810201518996,-0.6375754972382465,-0.6370898801032477,824,-0.6505405435665131,-0.6483062421337173,875,580,0.8518468561809824,0.8500532047448182,0.8613502129859145,0.7256430663917584,t25,t25
m12_joint_hybrid_synergy,inv_w0.85_s1.00,inverse_gaussian,0.85,1.0,1.0,false,0.6331946326801027,0.633061118131463,0.00013351454863963497,0.017996047862200423,0.018347074313313467,0.1777246177643157,0.22119115993929153,0.22296732081776438,0.21091067161472066,2148,0.6327421056592977,0.6313810201519001,0.016756452636099654,0.019667429027437587,0.22091680989366408,0.22020097994061438,2442,0.6264093818578047,0.6356109811315653,0.6172077825840442,-0.6327421056592984,-0.6313810201518996,-0.6375822503225681,-0.6370898801032477,824,-0.650393499836071,-0.6483062421337173,875,580,0.8510416712248774,0.8500299299914504,0.8564941929063784,0.7242719261632588,t25,t25
m12_joint_hybrid_synergy,inv_w1.00_s0.15,inverse_gaussian,1.0,0.15,1.0,true,0.6348776748799607,0.633061118131463,0.0018165567484976775,0.01506271590749618,0.018347074313313467,0.19640169051638687,0.22195660379177787,0.22464227757688746,0.21091067161472066,2148,0.6344651650773406,0.6313810201519001,0.013269705687567725,0.019667429027437587,0.22169788506488966,0.22020097994061438,2442,0.6283192113476559,0.6383234483339266,0.6183149743613853,-0.6344651650773397,-0.6313810201518996,-0.6376816569297239,-0.6370898801032477,824,-0.6547642952354207,-0.6483062421337173,875,580,1.0,1.0,1.0,1.0,t25,t25
m12_joint_hybrid_synergy,std_w0.25_s0.15,standard_gaussian,0.25,0.15,1.0,false,0.6318851304275237,0.633061118131463,-0.0011759877039393407,0.007859122950852003,0.018347074313313467,0.3124571441971393,0.22067470682376072,0.22066845262930224,0.21091067161472066,2148,0.630919372722713,0.6313810201519001,0.007059966747683736,0.019667429027437587,0.22011011220129983,0.22020097994061438,2442,0.6236014463843405,0.6294187143569379,0.6177841784117429,-0.6309193727227133,-0.6313810201518996,-0.6380672838855866,-0.6370898801032477,824,-0.6449350559767982,-0.6483062421337173,875,580,0.8002393131443939,0.35489864823911704,0.9933776375193614,0.6403830129172641,t25,t25
m12_joint_hybrid_synergy,std_w0.25_s0.25,standard_gaussian,0.25,0.25,1.0,false,0.6326740138415456,0.633061118131463,-0.00038710428991739487,0.010883721334988258,0.018347074313313467,0.7809009145507771,0.22103620025157358,0.2215179927315129,0.21091067161472066,2148,0.6319900143817564,0.6313810201519001,0.011414341297943482,0.019667429027437587,0.22060718942082924,0.22020097994061438,2442,0.6245587562563204,0.6314686933612922,0.6176488191513486,-0.6319900143817564,-0.6313810201518996,-0.6380385528799096,-0.6370898801032477,824,-0.6471746767489358,-0.6483062421337173,875,580,0.9208690884938047,0.6194145440276582,0.9976091805672671,0.8479998886652802,t25,t25
m12_joint_hybrid_synergy,std_w0.25_s0.35,standard_gaussian,0.25,0.35,1.0,false,0.633228844304893,0.633061118131463,0.00016772617342997176,0.014056426038031778,0.018347074313313467,0.25278368047228794,0.22127070200667315,0.2223304761199105,0.21091067161472066,2148,0.6327167337958852,0.6313810201519001,0.012246944172185987,0.019667429027437587,0.2209360004510591,0.22020097994061438,2442,0.6254668838614549,0.6333607285373134,0.6175730391855963,-0.6327167337958858,-0.6313810201518996,-0.6379397537863538,-0.6370898801032477,824,-0.649077121509916,-0.6483062421337173,875,580,0.9585253674543298,0.7725755098123356,0.9987792403836473,0.9187708831084918,t25,t25
m12_joint_hybrid_synergy,std_w0.25_s0.50,standard_gaussian,0.25,0.5,1.0,false,0.6337809280439421,0.633061118131463,0.000719809912479108,0.01706551848737984,0.018347074313313467,0.2983173049375709,0.2214962244381056,0.22315581647523347,0.21091067161472066,2148,0.6333583208903553,0.6313810201519001,0.014766612074842854,0.019667429027437587,0.2212169767986314,0.22020097994061438,2442,0.6264536868829143,0.6352547243777701,0.6176526493880583,-0.633358320890355,-0.6313810201518996,-0.6378406944602928,-0.6370898801032477,824,-0.6510147009779753,-0.6483062421337173,875,580,0.9793825887274235,0.8783103193234685,0.9994015793080435,0.9591902558797643,t25,t25
m12_joint_hybrid_synergy,std_w0.25_s0.75,standard_gaussian,0.25,0.75,1.0,false,0.634274556100845,0.633061118131463,0.001213437969382003,0.017157181311493304,0.018347074313313467,0.18123951846731765,0.22170013449259665,0.22384922577526656,0.21091067161472066,2148,0.6338762501928832,0.6313810201519001,0.015326940703961437,0.019667429027437587,0.22144089342694437,0.22020097994061438,2442,0.6273179423472935,0.6367573100881603,0.6178785746064267,-0.6338762501928832,-0.6313810201518996,-0.6377625743160434,-0.6370898801032477,824,-0.6527246564232013,-0.6483062421337173,875,580,0.990765719095088,0.9432489350704272,0.9997339762759092,0.9816167102923845,t25,t25
